episode,total_reward,step
0,-435.1835488888132,159
1,-533.4126877838437,241
2,-643.8226695222287,305
3,-454.1112781345999,389
4,-392.530367212426,454
5,-245.84737716028656,539
6,-837.6771657409,615
7,-859.7097594318013,695
8,-482.0783917069405,768
9,-355.0114212112715,846
10,-723.2753013737532,901
11,-55.52979216151879,1024
12,-278.97809894463126,1141
13,-177.6712183338817,1231
14,-428.0740492806937,1301
15,-279.08566122910275,1389
16,-299.873592769713,1583
17,-99.15156777518824,1877
18,-175.99305071201582,2877
19,-502.4667355880432,3385
20,-654.9528189352445,3618
21,-556.4017273834091,4618
22,-794.4724325671787,4781
23,-521.8736224140322,5004
24,-433.3799963388881,5177
25,-471.6576323352986,5877
26,-878.4576133382778,6012
27,-438.2821827309017,6138
28,-561.041835567547,6344
29,-475.5948299623586,6498
30,-433.8953914420316,6705
31,-337.40026504004175,6834
32,-410.409034804073,6941
33,-442.23588827240246,7092
34,-367.2158340329264,7348
35,-501.9848028989683,7572
36,-252.50524961666065,7712
37,-265.3289079086936,7852
38,-394.7019543505989,7985
39,-454.2141326412775,8121
40,-762.126204924086,8302
41,-785.2132320223903,8391
42,-724.397895309716,8504
43,-602.983384030712,8616
44,-335.6958569344606,8715
45,-748.5043815467218,8818
46,-373.2190148786177,8966
47,-1095.5044052778303,9073
48,-496.57385066778784,9187
49,-1120.3461163609163,9320
50,-150.9623091174255,9471
51,-940.1910583440836,9566
52,-496.32888763918646,9712
53,-448.4940638028588,9865
54,-240.04255401288623,9970
55,-514.7393554083819,10087
56,-721.4698150533416,10230
57,-102.92785990690744,10341
58,-457.38417029253054,10455
59,-94.44530737252872,10596
60,-537.3081398446188,10696
61,-718.1561511154346,10831
62,-153.31840878201908,10946
63,-251.4092061193892,11052
64,-471.58500603242993,11173
65,-222.00048226030933,11289
66,-457.53729760688185,11436
67,-458.9846604398947,11879
68,-686.5664623288775,12045
69,-356.12688639998146,12214
70,-809.6299792074612,12370
71,-161.4020653525232,12463
72,-257.76006180367034,13463
73,-217.18089173135863,13943
74,-264.0214603630068,14102
75,-246.9504364254966,14296
76,-999.9876894582056,14480
77,-925.4296787267576,14645
78,-390.16556590967326,14812
79,-279.02286892631093,14992
80,-266.11256080316883,15252
81,-209.0282536594165,15599
82,-253.7861008157338,15725
83,-308.4241156408196,15950
84,-269.598446178348,16129
