episode,length,step
0,51,160
1,69,230
2,96,315
3,58,391
4,68,543
5,55,611
6,110,716
7,134,821
8,57,958
9,83,1026
10,69,1125
11,111,1214
12,69,1296
13,64,1410
14,178,1537
15,92,1609
16,56,1679
17,102,1800
18,86,1895
19,58,1954
20,92,2020
21,95,2126
22,75,2198
23,90,2286
24,79,2346
25,65,2439
26,76,2525
27,61,2639
28,76,2707
29,88,2770
30,93,2838
31,95,2924
32,77,3019
33,104,3152
34,79,3278
35,101,3367
36,83,3436
37,66,3577
38,67,3673
39,102,3746
40,103,3888
41,54,3948
42,78,4025
43,59,4085
44,150,4158
45,94,4223
46,127,4283
47,56,4427
48,89,4522
49,113,4607
50,87,4675
51,129,4756
52,68,4854
53,71,4968
54,88,5048
55,87,5146
56,142,5283
57,116,5351
58,74,5451
59,114,5542
60,96,5617
61,76,5704
62,107,5777
63,102,5877
64,183,6003
65,126,6092
66,630,6180
67,101,6284
68,158,6458
69,85,6611
70,80,6716
71,60,6804
72,60,6869
73,69,6941
74,66,7007
75,70,7090
76,95,7158
77,1000,7252
78,337,7382
79,122,7553
80,105,7671
81,99,7801
82,788,7895
83,91,8121
84,111,8235
85,85,8355
86,309,8506
87,424,8692
88,133,9076
89,111,9315
90,1000,10315
91,1000,11315
92,148,11430
93,430,12430
94,435,13430
95,720,14430
96,467,15430
97,444,16430
98,378,17430
99,977,18430
100,258,19430
101,1000,20430
102,1000,21430
103,1000,22430
104,1000,23430
105,1000,24430
106,1000,25430
107,642,26430
108,1000,27430
109,1000,28430
110,567,29430
111,1000,30430
112,1000,31430
113,1000,32430
114,1000,33430
115,539,34430
116,1000,34635
117,1000,35635
118,700,36635
119,1000,37635
120,1000,37820
121,1000,38202
122,1000,39202
123,755,40202
124,1000,40407
125,1000,41407
126,1000,42407
127,1000,43407
128,1000,44407
129,1000,45407
130,743,46407
131,1000,47407
132,1000,48407
133,1000,49407
134,811,50372
135,1000,51372
136,1000,52372
137,1000,53372
138,1000,54372
139,1000,55372
140,1000,56372
141,1000,57372
142,1000,58372
143,1000,59372
144,1000,60372
145,1000,61372
146,1000,62372
147,1000,63372
148,1000,64372
149,1000,65372
150,1000,66372
151,788,67372
152,885,68372
153,1000,69372
154,1000,70372
155,518,71372
156,660,72182
157,1000,73182
158,417,74182
159,1000,74801
160,1000,75553
161,1000,76553
162,802,77015
163,1000,78015
164,1000,79015
165,1000,80015
166,1000,81015
167,659,82015
168,909,82795
169,1000,83795
170,1000,84576
171,1000,85004
172,679,85478
173,1000,85665
174,1000,86665
175,1000,87625
176,1000,88625
177,1000,89625
178,706,90625
179,1000,91625
180,1000,92625
181,359,93625
182,1000,94625
183,1000,94865
184,950,95865
185,272,96865
186,1000,97865
187,1000,98611
188,1000,99611
189,678,100611
190,941,101611
191,1000,102611
192,1000,103611
193,351,103855
194,1000,104855
195,1000,105855
196,1000,106855
197,294,107855
198,1000,108227
199,966,109227
200,1000,109455
201,660,110455
202,175,110858
203,240,111525
204,1000,112390
205,1000,113390
206,1000,113593
207,1000,113983
208,1000,114983
209,269,115983
210,1000,116316
211,407,117316
212,418,118316
213,138,119316
214,1000,119433
215,458,120433
216,224,120840
217,1000,121485
218,164,121639
219,132,121782
220,1000,122782
221,1000,123782
222,1000,123985
223,155,124985
224,129,125156
225,118,125319
226,872,125962
227,588,126962
228,1000,127093
229,126,128093
230,1000,129093
231,1000,129568
232,392,130568
233,699,130784
234,1000,131784
235,332,132269
236,456,132527
237,89,133527
238,146,134527
239,1000,135527
240,173,136480
241,156,136646
242,1000,137213
243,1000,137417
244,1000,138417
245,174,139417
246,307,140417
247,1000,140840
248,443,141017
249,1000,142017
250,789,142828
251,547,143505
252,504,144505
253,219,145505
254,187,145688
255,162,146688
256,242,147688
257,387,148005
258,1000,149005
259,1000,149166
260,375,149393
261,136,149571
262,197,150048
263,524,150293
264,418,150562
265,132,151562
266,281,151693
267,395,152693
268,307,153693
269,194,154693
270,155,155693
271,139,156693
272,372,156938
273,539,157938
274,1000,158938
275,1000,159332
276,1000,159513
277,940,160513
278,127,161513
279,146,162513
280,840,162630
281,342,163630
282,200,164630
283,1000,164764
284,1000,165223
285,501,165359
286,315,166359
287,872,166677
288,880,167677
289,807,168677
290,433,169404
291,872,169873
292,1000,170873
293,1000,171579
294,286,172579
295,1000,173579
296,573,174579
297,256,175398
298,203,175972
299,628,176254
300,1000,176416
301,1000,177416
302,260,178416
303,506,178592
304,138,179592
305,318,180592
306,404,180789
307,756,180988
308,263,181181
309,209,182181
310,1000,182328
311,225,182531
312,1000,183531
313,177,184531
314,1000,184761
315,180,185761
316,233,186467
317,486,187467
318,440,188467
319,1000,189467
320,1000,190467
321,874,191467
322,1000,192467
323,694,193467
324,427,194467
325,1000,195467
326,502,196467
327,367,196972
328,1000,197972
329,1000,198972
330,181,199347
331,617,199527
332,213,199736
333,173,200736
334,1000,200899
335,914,201117
336,1000,201355
337,1000,202355
338,233,203355
339,760,204355
340,799,205355
341,870,205677
342,251,206677
343,1000,207677
344,1000,208677
345,1000,209677
346,1000,210677
347,362,211032
348,381,212032
349,1000,213032
350,445,214032
351,220,214209
352,679,215209
353,390,215521
354,1000,216344
355,399,217344
356,446,218344
357,484,219344
358,1000,220344
359,636,221344
360,372,222344
361,507,223344
362,388,224344
363,472,225344
364,1000,226344
365,1000,227344
366,427,228039
367,376,229039
368,566,230039
369,391,231039
370,804,232039
371,924,233039
372,1000,234039
373,1000,235039
374,1000,236039
375,1000,237039
376,1000,238039
377,795,239039
378,1000,240039
379,1000,241039
380,1000,242039
381,1000,243039
382,1000,244039
383,1000,245039
384,1000,246039
385,374,247039
386,291,248039
387,424,249039
388,1000,250039
389,441,251039
390,538,252039
391,278,252472
392,1000,253472
393,580,254472
394,648,255472
395,322,256472
396,304,257472
397,1000,258472
398,1000,259472
399,1000,260472
400,635,261472
401,378,262472
402,1000,263472
403,392,264472
404,1000,265472
405,473,266472
406,671,267472
407,680,268472
408,390,269472
409,712,270472
410,347,271472
411,1000,272472
412,868,273472
413,564,274472
414,513,275472
415,457,276472
416,652,277472
417,1000,278472
418,1000,279472
419,357,280472
420,337,281472
421,577,282472
422,504,283472
423,354,284472
424,565,285043
425,1000,286043
426,679,287043
427,383,288043
428,315,289043
429,1000,290043
430,1000,291043
431,786,292043
432,241,293043
433,545,294043
434,260,295043
435,601,295194
436,511,296194
437,441,297194
438,443,298194
439,402,299194
440,276,300194
441,438,301194
442,282,302194
443,217,303194
444,1000,304194
445,366,305194
446,672,306194
447,311,307194
448,331,308194
449,261,309194
450,257,310194
451,117,311194
452,373,312194
453,213,313194
454,218,314194
455,1000,315194
456,412,316194
457,253,316371
458,1000,317371
459,220,318371
460,222,318549
461,272,319549
462,265,320549
463,265,321549
464,1000,322549
465,696,323549
466,346,323704
467,273,324704
468,248,325704
469,259,326704
470,647,327704
471,236,328704
472,278,329704
473,409,330704
474,229,331704
475,258,332704
476,247,333704
477,232,334704
478,292,335704
479,722,336704
480,214,337704
481,258,338704
482,247,339704
483,361,340704
484,503,341682
485,233,341816
486,274,342816
487,242,343816
488,262,344816
489,276,345816
490,209,346816
491,219,347816
492,223,348816
493,624,349816
494,249,350816
495,1000,351816
496,257,352816
497,241,353816
498,1000,354816
499,1000,355816
500,240,356816
501,766,357816
502,429,358816
503,321,359816
504,1000,360816
505,926,361816
506,674,362816
507,260,363816
508,297,364816
509,250,365816
510,273,366129
511,254,367129
512,403,368129
513,276,369129
514,251,370129
515,270,371129
516,472,371533
517,812,372533
518,316,373533
519,234,374509
520,387,375509
521,1000,376509
522,256,377509
523,319,378509
524,260,379509
525,240,380138
526,238,381138
527,607,382138
528,221,383138
529,253,383942
530,216,384942
531,864,385942
532,422,386942
533,605,387942
534,434,388942
535,505,389473
536,311,390473
537,222,391473
538,245,392473
539,1000,393473
540,1000,394473
541,339,395473
542,566,396473
543,511,397473
544,1000,398473
545,1000,399473
546,243,400473
547,456,401473
548,232,402473
549,927,403473
550,1000,404473
551,480,404839
552,220,404995
553,233,405995
554,271,406508
555,684,407508
556,1000,408508
557,192,409508
558,1000,410508
559,256,411508
560,280,412508
561,290,413508
562,251,414508
563,266,415508
564,247,415854
565,503,416854
566,216,417854
567,220,418854
568,1000,419854
569,405,420854
570,1000,421028
571,1000,421649
572,245,421822
573,155,422822
574,229,423822
575,1000,424822
576,267,425822
577,228,426822
578,471,427822
579,332,428822
580,231,429822
581,1000,430822
582,239,431822
583,252,432822
584,242,433822
585,232,434822
586,215,435822
587,259,436413
588,210,437413
589,282,438413
590,281,439413
591,390,440413
592,902,441413
593,224,442413
594,233,443413
595,882,444118
596,644,445118
597,234,446118
598,326,447118
599,315,448118
600,216,449118
601,333,450118
602,1000,451118
603,256,452118
604,415,453118
605,1000,454118
606,261,455118
607,246,456118
608,1000,457118
609,1000,458118
610,1000,459118
611,211,460118
612,192,461118
613,179,462118
614,219,463118
615,1000,464118
616,1000,465118
617,534,466118
618,211,467118
619,239,468118
620,1000,469118
621,249,470118
622,192,471118
623,1000,472118
624,213,473118
625,419,474118
626,1000,475118
627,313,476118
628,1000,477118
629,226,478118
630,281,479118
631,261,480118
632,359,481118
633,681,482118
634,792,483118
635,228,484118
636,1000,485118
637,553,486118
638,227,487118
639,693,488118
640,579,489118
641,265,490118
642,377,491118
643,438,492118
644,1000,493118
645,214,494118
646,268,495118
647,289,496118
648,166,497118
649,1000,498118
650,226,499118
651,266,500118
652,228,501118
653,535,502118
654,253,503118
655,494,504118
656,242,505118
657,912,506118
658,257,507118
659,661,508118
660,201,509118
661,1000,510118
662,1000,511118
663,251,512118
664,576,513118
665,200,514118
666,392,515118
667,1000,516118
668,245,517118
669,287,518118
670,557,519118
671,277,520118
672,415,521118
673,318,522118
674,318,523118
675,485,524118
676,219,525118
677,181,526118
678,224,527118
679,548,528118
680,338,529118
681,607,530118
682,219,531118
683,370,532118
684,358,533118
685,339,534118
686,142,534252
687,265,534436
688,562,535436
689,247,536436
690,1000,537436
691,485,538436
692,240,539436
693,212,540436
694,224,541436
695,491,542436
696,548,543436
697,724,544436
698,259,545436
699,223,546436
700,340,547436
701,195,548304
702,236,549304
703,271,550304
704,229,551304
705,1000,552304
706,679,553304
