episode,train_step,EpisodeLength,TotalReward,EpisodeTime
0,1000,77,-129.4986937008798,0.6892765000000001
1,1000,70,-69.56870997324586,0.7145308999999997
2,1000,73,-174.86155933141708,0.7777459000000002
3,1000,134,-405.0106506384909,1.4529117999999999
4,1000,90,-114.41732523217797,0.8564648000000004
5,1000,127,-266.2011955436319,1.4146517999999997
6,1000,127,-353.94365644454956,1.2717848000000007
7,1000,160,-523.9043021953548,1.5903475999999994
8,1000,141,-361.2343695592135,1.5566531000000001
9,1000,358,-331.57836929144105,4.016882300000001
10,1000,79,-318.8687678743154,0.8491730000000004
11,1000,117,-360.81022446602583,1.2527070999999985
12,1000,83,-172.7852314375341,0.7965472000000027
13,1000,150,-228.28400048986077,1.608271600000002
14,1000,132,-319.70289420336485,1.472832799999999
15,1000,82,-299.9641129374504,0.8350423000000013
16,1000,124,-263.9703598311171,1.3393593000000017
17,1000,125,-64.89016323536634,1.2983625999999973
18,1500,312,-865.9775766376406,3.478746799999996
19,1500,326,-916.7909311018884,3.8832490000000064
20,1500,206,-609.7967678140849,2.307296699999995
21,1500,157,-256.2616281416267,1.634349499999999
22,1500,135,-152.46791741251945,1.477944799999996
23,1500,372,-547.0367548442446,3.9040785000000042
24,1500,137,-419.3572467342019,1.3334034000000017
25,1500,131,-276.04067865759134,1.307343600000003
26,1500,77,-346.5609133839607,1.0008365999999995
27,1500,121,-261.1858934406191,1.5023115999999987
28,1500,162,-333.1618151906878,2.678554999999996
29,1500,153,-576.7780097164214,2.081584900000003
30,1500,120,-363.1360420137644,1.3981891999999974
31,1500,133,-475.2963678467786,1.7139224999999954
32,1500,74,-504.9225472807884,0.8913242999999937
33,2000,151,-613.5993642732501,2.5073831999999996
34,2000,114,-581.3302600979805,2.127686600000004
35,2000,125,-613.9160103742033,2.0605139999999977
36,2000,157,-609.2940767926048,2.6777501000000115
37,2000,123,-574.9532370343804,2.154065900000006
38,2000,150,-456.0366097688675,2.767517099999992
39,2000,145,-504.67671786621213,2.7016748000000064
40,2000,177,-383.37341815885156,2.8704450000000037
41,2000,123,-487.24860632419586,2.2057198000000113
