episode,length,step
439,324,292705
440,198,293705
441,1000,294705
442,430,295705
443,514,296705
444,1000,297705
445,860,298705
446,330,299705
447,612,300705
448,1000,301705
449,194,302705
450,290,303705
451,1000,304705
452,338,305705
453,704,306705
454,327,307705
455,447,308705
456,261,309705
457,366,310705
458,1000,311705
459,208,312705
460,201,313705
461,1000,314705
462,271,315705
463,610,316705
464,344,317464
465,614,318464
466,417,319464
467,321,320464
468,409,321464
469,417,322464
470,478,323464
471,680,324464
472,289,325464
473,385,325644
474,377,326644
475,1000,327644
476,310,328644
477,361,329644
478,245,329799
479,880,330799
480,1000,331203
481,404,332203
482,833,333203
483,704,334203
484,1000,335203
485,248,336203
486,504,337203
487,1000,338203
488,380,339203
489,663,340203
490,624,341203
491,942,342203
492,307,343203
493,275,344203
494,321,345203
495,321,346203
496,813,347203
497,283,348203
498,120,349203
499,692,350203
500,406,351203
501,743,352203
502,347,353203
503,977,354203
504,265,355170
505,387,356170
506,334,357170
507,816,358170
508,345,359170
509,460,360170
510,582,361170
511,1000,362170
512,436,363170
513,299,364170
514,639,365170
515,240,366170
516,104,367170
517,124,367297
518,227,367391
519,265,368391
520,246,369391
521,1000,370391
522,212,371391
523,241,372391
524,186,372499
525,1000,373499
526,321,374499
527,393,375499
528,227,376499
529,255,377499
530,440,378499
531,330,379308
532,141,380308
533,225,380466
534,233,381466
535,1000,382466
536,582,383466
537,220,384466
538,193,385466
539,237,386466
540,206,386595
541,381,387595
542,243,388595
543,893,389595
544,488,390595
545,263,391595
546,267,392595
547,597,393595
548,199,393692
549,225,394692
550,181,395692
551,500,396692
552,495,396772
553,181,397191
554,200,397284
555,243,398284
556,192,399284
557,623,400284
558,211,401284
559,823,402284
560,675,403284
561,286,403429
562,342,404429
563,209,404575
564,218,405575
565,1000,406575
566,928,407575
567,213,408575
568,1000,409575
569,282,410575
570,679,411575
571,298,412575
572,878,413575
573,273,413768
574,543,414768
575,193,415768
576,220,416374
577,1000,417374
578,249,418374
579,249,419374
580,250,420374
581,216,421374
582,165,422374
583,438,423374
584,270,424374
585,201,424632
586,492,425632
587,217,426350
588,270,426474
589,541,426564
590,1000,427564
591,110,427673
592,1000,428673
593,761,428775
594,312,428886
595,676,429886
596,559,430886
597,1000,431886
598,735,432886
599,158,432988
600,153,433695
601,228,434118
602,409,434251
603,192,434375
604,289,434462
605,203,435462
606,228,435588
607,277,436588
608,197,436706
609,231,436802
610,506,437802
611,210,438802
612,168,438904
613,807,439110
614,491,440110
615,233,440221
616,289,440856
617,836,441856
618,204,442856
619,238,443856
620,631,443996
621,308,444996
622,271,445996
623,229,446996
624,230,447996
625,167,448996
626,173,449996
627,443,450155
628,404,450296
629,190,451296
630,577,451410
631,328,452410
