episode,total_reward,step
0,-341.97531801370656,121
1,-719.5180798765937,229
2,-1036.6587789128855,354
3,-1053.309629095697,423
4,-742.2531319012418,502
5,-449.9302293362766,590
6,-476.8959327755184,675
7,-140.04601107200574,752
8,-161.82994776947913,811
9,-134.81179548075488,926
10,-188.43437918933023,1025
11,17.624138595530184,1138
12,-1238.4669905272992,1280
13,-626.5646148767396,1533
14,-128.72632195495953,1669
15,-343.7116126120129,1952
16,-7.679639734761054,2176
17,-47.88716294705604,2502
18,-175.62938834391633,2625
19,-159.19302080797178,2745
20,-225.8679013723844,2965
21,-213.9482799266169,3189
22,-479.5807962594956,3401
23,-545.5624576779945,3548
24,-408.3127121364269,3661
25,-393.7490135549304,3790
26,-338.82562671946545,3957
27,-59.623327525070486,4060
28,-588.8169249967225,4196
29,-425.82293981661167,4417
30,-933.754036912132,4515
31,-949.4651219974696,4621
32,-1261.7267431576242,4738
33,-466.6533142428418,4914
34,-1389.8210360395476,5121
35,-541.8196093792836,5315
36,-351.17617448818095,5456
37,-483.1630744194662,5703
38,-411.5799361678641,5897
39,-451.928846199474,5982
40,-538.074893265701,6110
41,-1142.675900378404,6229
42,-158.33627952063318,6432
43,-562.5495075367553,6595
44,-204.44256593126,6928
45,-284.7382565454185,7311
46,-139.22493049716456,7462
47,-309.77945903484624,7573
48,-240.55616713133008,7679
49,-208.9236001872788,8197
50,-267.77666334190013,8343
51,-268.64073337004106,8609
52,-345.7908669556617,8884
53,-159.66580646354376,9038
54,-318.3680168333181,9375
55,-352.747530097078,9589
56,-291.7704154889781,9783
57,-284.0833853792011,9998
58,-242.3568139196533,10710
59,-269.00443004032184,10848
60,-477.6150191345331,11041
61,-339.6370618837028,11144
62,-348.2147169131347,11255
63,-412.2320340701459,11815
64,-673.7333416680826,11948
65,-328.3698093353413,12089
66,-440.274577703988,12230
67,-167.94570119364562,12484
68,-48.02418042764332,12612
69,-353.1148131595311,13208
70,-425.8497217266644,13407
71,-430.30040021444574,13563
72,-359.57810346555493,13782
73,-418.8924087878206,13987
74,-417.9809271764555,14141
75,-397.1475844684487,14300
76,-594.2857972863223,14555
77,-450.01663415989486,14705
78,-262.6399236716967,14854
79,-223.4028703342981,15026
80,-121.74577936528176,15227
81,-396.0807817707818,15389
82,-461.5707092936264,15659
83,-504.0643411619248,15972
84,-541.322291435458,16149
85,-495.8610436160296,16324
86,-270.554409588035,16473
87,-455.3070652618031,16652
88,-582.1043788553734,16777
89,-729.5758885675467,17015
90,-278.28010048794715,17252
91,-277.7981803671131,17605
92,-312.18563404644874,17838
93,-541.8172851961463,18075
94,-428.8340661646734,18324
95,-234.05918005872343,18632
96,-638.628456196893,18806
97,-417.787518300116,19045
98,-534.742429911109,19278
99,-237.36900879854176,19530
100,-162.2810439706427,19718
101,-514.0516967017597,19880
102,-348.18156883065666,20161
103,-412.21340161065086,20406
104,-736.9982937566886,20571
105,-520.6555150605614,20705
106,-400.8491346687746,20902
107,-592.7894213516763,21063
108,-682.1195665588988,21315
109,-444.3349341430213,21745
110,-207.70458724187,21941
111,-492.0564249050636,22130
112,-603.5622750122623,22389
113,-186.6164564430843,22683
114,-163.13804412477623,22960
115,-496.70267363033753,23297
116,-248.21723384198003,23554
117,-261.2686947620824,23826
118,-554.6807189587975,24061
119,-205.94224640596337,24743
120,-218.3098215149908,25019
121,-590.1826916342372,25300
122,-163.3829922433182,25621
123,-199.86603038423664,25975
124,-230.10364965925976,26331
125,-198.555516932724,26705
126,-375.3581709871404,27039
127,-150.74665468527678,27896
128,-105.74843510999952,28418
129,-83.61607493717975,29012
130,-192.9092498790069,29207
131,-248.0548048987989,29805
132,-339.56636691616995,30141
133,-343.2485106088876,30428
134,-124.07468277771898,31239
135,-44.539149429522965,31612
136,-181.44911866945503,32021
137,-310.1662991911176,32587
138,-102.84016093646592,33072
139,-112.06986995274224,34072
140,-92.29357393750963,35072
141,-103.53363760726806,36072
142,-81.75037333449843,37072
143,-85.11401830779572,38072
144,-97.36053844380352,39072
145,-99.52736834348087,39438
146,-80.08128522409885,40438
147,-124.72431782626684,41438
148,-28.8787909301208,41779
149,-80.22746110478221,42779
150,-66.56787142733266,43779
151,-63.24937691738803,44779
152,-62.031422084758354,45779
153,-68.24311918126227,46779
154,-61.04758378757688,47779
155,-197.20309054232365,48779
156,-66.98950299043449,49779
157,-71.21155998129167,50779
158,-99.65658183336872,51779
159,-81.97386643054112,52779
160,-42.20674512510642,53779
161,-84.05361456348884,54779
162,-283.3667339383573,55779
163,-82.5738453754247,56779
164,-236.69790244136053,57779
165,-144.45347182190997,58779
166,-97.3446284027998,59779
167,-104.2147626561302,60779
168,-119.99537890058404,61779
169,-289.164816711318,62242
170,-160.1049742080877,63017
171,-83.9271310023959,64017
172,-121.63030729039296,65017
173,-35.975912091054006,65997
174,-156.95488896644343,66997
175,-79.34763053298015,67997
176,-133.56852751162998,68997
177,-111.3808803506511,69997
178,108.4174880186546,70997
179,-164.79294928595354,71545
180,-100.52562633809458,72459
181,-48.97683121245608,73459
182,-303.659753191322,74258
183,-200.25355963943383,75258
184,-388.6023453616739,76258
185,-153.61458577592586,77068
186,-259.28046857315746,77783
187,-144.13273974120025,78783
188,-154.62417919105968,79366
189,-193.74439285573,79715
190,-114.92011852881024,80715
191,-242.9765647455194,81670
192,-178.12689699573238,82343
193,-223.3075537925621,83107
194,-235.53376546583667,83436
195,-206.55973655759817,83853
