episode,total_reward,step
0,-395.08825116112206,81
1,-275.4298935194272,173
2,-132.5387356099714,293
3,-403.8656138412202,386
4,-770.1932644152806,471
5,-402.7686374086475,540
6,-715.7845705112201,605
7,-773.4097075919024,689
8,-818.7752734892229,765
9,-795.7661051857143,850
10,-572.9810810825018,926
11,-362.01535562790286,1008
12,-542.7765678935419,1088
13,-606.2195417361409,1210
14,-531.7066047349911,1310
15,-299.3151078867867,1461
16,-18.626451697238835,1588
17,-341.4597220175318,1701
18,-343.2181563303345,1772
19,-397.51040494144274,1850
20,-340.73116785563866,1937
21,-183.2697097429157,2033
22,-378.2335660622071,2116
23,-351.1521361178226,2201
24,-130.0742423532873,2286
25,-74.4135602513366,2339
26,-208.88973955856568,2417
27,-154.16354561336055,2495
28,-74.89631993956719,2579
29,-122.4444559219076,2638
30,-210.44338540574483,2698
31,-6.018769629561163,2806
32,-97.37116573607469,2967
33,202.63763066792552,3080
34,-97.957844052324,3275
35,-111.24736056536004,3490
36,-147.63264629646008,3686
37,-142.19446787160683,3851
38,-105.20989975624842,4551
39,-136.08247173655292,4718
40,-172.23196008382018,5073
41,-182.45186455183384,5587
42,161.51668761718926,5784
43,-162.989982114245,5969
44,-175.3627429078495,6172
45,28.38679806745209,6942
46,-170.764405175756,7942
47,-132.15103459982925,8635
48,-82.78267654507225,8986
49,-137.8881461769974,9986
50,-176.18581932069915,10703
51,-28.427097491237465,11703
52,-111.0088813520003,12703
53,-129.0016635370395,13703
54,-160.63894829488214,14703
55,-47.88170876898627,15703
56,-80.59310319144298,16703
57,-199.36726728556715,17703
58,95.12342651166016,18703
59,-302.79657524606495,19703
60,-209.25154010937763,20703
61,-124.61821433742936,21703
62,-96.18300530053908,22703
63,-95.98464264701428,23703
64,-96.02815267663604,24703
65,-145.99858951791575,25703
66,-124.10954786022386,26703
67,-71.72858030595158,27703
68,-106.12865169188336,28703
69,-61.28203236141167,29703
70,-129.37817811692253,30703
71,-64.42915023677506,31703
72,-89.5521553243159,32703
73,-245.31388236867468,33703
74,-88.10479550978891,34703
75,-147.14959340211405,35703
76,-124.410914168737,35917
77,-92.92046645716589,36917
78,-188.4876822535176,37917
79,-121.62902118394172,38205
80,-169.3568910650172,39205
81,-92.3989092979114,40205
82,-569.9485763764189,40377
83,-86.90476876602393,41377
84,-131.95634832700267,41634
85,-123.00303277954144,42016
86,-216.03692026464884,42506
87,-404.8628452512773,43506
88,-313.87404970972165,43871
89,-132.1620512943975,44126
90,-178.443302783918,45126
91,-283.39601457922174,46126
92,-85.58982549013794,47126
93,-225.14477192423303,48126
94,-241.1702066703824,49126
95,-372.8290187106937,49374
96,-108.53575521476245,49602
97,-111.3315029209156,49818
98,-144.6501290055716,50818
99,110.66325990644636,51818
100,-223.4468431415281,52818
101,-91.18780116717544,53818
102,-80.30164636559913,54818
103,-108.97576485703598,55818
104,-128.4743030677355,56818
105,-155.48511435700036,57818
106,-4.742515765254356,58818
107,-98.76218724399352,59818
108,-60.53152124479536,60818
109,-140.09895954220707,61818
110,-130.67166658549473,62818
111,-159.91891009907147,63818
112,-27.14802629411032,64818
113,-136.18259581743416,65818
114,-137.9154219422326,66818
115,-515.069818780907,67818
116,-5.066962968554983,68818
117,-88.69166755132439,69818
118,-199.936156345464,70818
119,-72.60337686057478,71818
120,-132.49308315506616,72818
121,-96.77409899961874,73818
122,-48.8857754793735,74818
123,-29.952726181924,75818
124,-3.831815248711522,76818
125,-70.89819275167335,77818
126,196.789556122988,78818
127,144.24961963341582,79818
128,224.3619425357992,80615
129,-23.10951102664066,81615
130,105.1554177501151,82615
131,188.80320810917087,83615
132,160.40467000834886,84615
133,64.44470652612361,85231
134,156.76597673655996,86193
135,-59.28066365974082,87193
136,151.22322387333594,88193
137,-35.435847881646005,89193
138,106.1768590706716,90193
139,-185.6848451011544,91125
140,132.7052531596152,92125
141,-74.250838218295,93125
142,-48.953490002341866,94125
143,-18.7903332183188,94757
144,-147.37714172527288,95583
145,-134.27629649493733,96583
146,-57.93038786501199,97583
147,108.47508521056535,98583
148,125.82280080848976,99583
149,-46.368023766558565,100583
150,118.22039997928454,101583
151,-276.6163907590718,102583
152,118.312036599901,103491
153,-304.5457417193363,104491
154,-50.71991492785312,105491
155,-11.36081411603188,106491
156,-34.05546147155067,107491
157,-92.48223524617048,108491
158,-175.74026010174686,109491
159,-122.62994779638656,110271
160,-128.17698584858752,111190
161,-73.86928881841382,112190
162,-183.144346193854,113190
163,-25.440620113716488,114190
164,-96.0152431699724,115190
165,-107.94503716302846,115928
166,28.43034329493324,116118
167,133.07054767648128,117118
168,-168.5954922166016,118118
169,124.44221349950756,119118
170,-74.33826699840562,119749
171,-147.10170594399617,120749
172,-68.08433292345177,121082
173,-88.21746582941105,121602
174,108.18717526059729,122602
175,155.50942121730355,123602
176,-102.61235534521307,124602
177,20.1201267324057,125602
178,-128.85424908634997,126602
179,-114.8397422952585,127602
180,-198.43733090600705,128602
181,-134.80920550235388,128961
182,-58.50284735124499,129778
183,-64.12380844916105,130778
184,-95.55056009804498,131778
185,-58.9378323358689,132122
186,-74.58909158398251,133122
187,-0.4145826759028719,134122
188,-90.8256474668738,135067
189,-11.895511757589842,136067
190,154.41868418546574,136370
191,-93.6146675380172,137370
192,-152.1901334519544,137867
193,-26.63951184456484,138867
194,-43.43214810748644,139867
195,111.6484545720746,140867
196,-150.11599613893102,141867
197,-133.81324931661433,142867
198,-117.43873956318154,143867
199,-43.96534773289954,144867
200,-94.7714517763199,145268
201,-75.30779528590236,146268
202,-39.56544610108665,146923
203,134.64816901305642,147923
204,-61.33634051492884,148093
205,111.20458557923762,148261
206,-64.10439798469515,149261
207,192.7800844335409,150036
208,-67.83201867196277,150310
209,-93.04827086759062,151310
210,-110.28603715915236,152310
211,96.27309054257296,153031
212,135.10066188766274,153633
213,-124.59621978786365,154633
214,-101.1363353743868,155633
215,180.55863866631995,156633
216,-109.37883191585,157475
217,-78.23609537441395,158475
218,-110.81363927199516,158930
219,137.1316990389105,159930
220,15.6419689338172,160622
221,-108.7762534365663,160875
222,121.20783770960122,161634
223,150.48203206285342,161823
224,138.1379607916394,162059
225,-37.64553557411318,163059
226,79.29223780195184,163247
227,26.255261070209325,164247
228,-129.0551017571608,165247
229,-104.52543380603366,166247
230,-133.29824446272244,166963
231,199.2724602161357,167451
232,-82.7940002855595,168451
233,-58.51964653631293,169451
234,-151.65649308004373,170451
235,231.09139012204807,171451
236,173.10371700719838,172451
237,193.6715805898985,173451
238,-35.34697737542155,173870
239,-58.27704859204511,174870
240,-37.1538841455592,175870
241,-72.29557332509947,176870
242,-75.2167064175343,177870
243,-38.005913850003,178870
244,-67.57916080974829,179870
245,195.2449847077009,180870
246,-95.60133518678444,181099
247,-59.21364516055428,182099
248,197.0614538949688,183099
249,221.47121683649144,184099
250,208.2268158942724,185099
251,139.48028031366078,186099
252,-53.641436691969886,187099
253,-59.55681310968741,188099
254,194.8176980439784,189099
255,212.5206530061064,189353
256,-127.28960394476792,190353
257,-63.11149093688429,191353
258,-43.932479779123234,192353
259,-60.979815384080624,193353
260,203.56060005854107,194353
261,-47.629273922007286,194665
262,-177.18173460765536,195665
263,-43.66422400163544,196665
264,-78.31540503318234,197665
265,-59.24885565548625,198665
266,215.6154190500057,198958
267,238.6545835495628,199958
268,-54.86367953176418,200958
269,207.29269757928657,201958
270,166.81219374401746,202958
271,162.72070620752726,203106
272,-64.40091818938731,204106
273,124.51558231659322,205106
274,150.5958285302779,206106
275,175.22008250960545,206241
276,204.78696816496185,207241
277,-66.41313933773628,208241
278,-85.78780556376984,209241
279,-93.7217020433454,209367
280,-59.414941819646046,210367
281,-80.90932406697073,210843
282,-11.702658283167288,210945
283,-35.90761466601697,211945
284,-73.35957773903773,212945
285,-78.20342660278493,213945
286,-69.46079814910783,214945
287,-45.43465309621467,215078
288,198.0804395344884,215519
289,-161.50124837440683,215681
290,-54.66604678663468,215810
291,-24.955296318920617,216015
292,227.1498725523065,217015
293,-77.31775565457463,218015
294,-98.9017934221729,219015
295,-68.38819801547595,220015
296,-48.08681626533711,220150
297,-72.00489584022426,220315
298,-41.10238429145136,221315
299,-61.81851486922584,222315
300,217.4468291342861,223315
301,155.6083574729765,223386
302,-78.63316398638439,223473
303,255.0137411703202,224473
304,136.2608418578059,224655
305,127.98604527206628,225655
306,-31.494773418005835,226655
307,257.44615674832914,226747
308,234.92005975929385,226881
309,181.83700895965728,227091
310,-66.56669258214633,227319
311,-44.78253705945209,228319
312,216.9299517869061,228552
313,157.546915330505,228818
314,95.67389661481926,229818
315,250.574592522831,230401
316,17.47540485968885,231194
317,223.55950902671168,231567
318,-12.345482556180684,231673
319,211.77130012319668,231803
320,-113.93689834788438,231943
321,4.4678224138014855,232943
322,244.2768442374181,233479
323,-69.93184420102925,234479
324,-155.03652144815814,234593
325,-116.94127928132023,234749
326,180.2113729612591,234842
327,-25.866062600999182,234928
328,271.6777016994232,235029
329,229.24393928233377,236029
330,266.493447229122,237029
331,202.30178857501983,238029
332,243.60398773662808,239029
333,234.8041049739749,240029
334,219.89550927001068,241029
335,230.5600182695898,242029
336,-84.00054000925567,243029
337,190.68678691715465,244029
338,-60.23028815621051,245029
339,266.54407306100694,246029
340,240.56233928984065,247029
341,253.18289316487807,247164
342,-125.83457915996044,248164
343,-110.65705635989552,248422
344,-83.23245692398508,249422
345,-124.6726717623018,250422
346,190.4945624661293,251422
347,-121.96500280420692,252422
348,-94.46900123305043,252597
349,-1.1829380981423396,253597
350,-103.73572041906192,253719
351,209.93594345715675,253858
352,228.37092657398816,254858
353,216.7109426860872,255858
354,198.37390461458423,256858
355,-99.6602459993065,257078
356,-104.47627334557316,257366
357,196.47230278620955,258366
358,218.6661676556548,258580
359,-120.04939614049049,258765
360,-112.79262377718769,258870
361,253.4554745084292,259870
362,184.5153005856668,260097
363,-164.9139358173968,261097
364,251.5190627654202,262097
365,-152.69850270575563,263097
366,-97.81695031705328,264097
367,258.6730771668056,265097
368,-83.28859348750605,266097
369,258.0636240847893,267097
370,225.90098672369407,268097
371,224.477140571078,269097
372,-5.368792827322892,270097
373,-75.78860847810866,271097
374,-37.26985619686437,271192
375,-94.54443513579548,272192
376,-94.88062841468854,273096
377,251.7332632971321,273320
378,-116.58404676367527,274320
379,-170.7144045523196,275320
380,242.9162104945271,275471
381,-52.26903093734491,276471
382,-110.8173513973911,277471
383,25.96634282594796,278471
384,236.38491351105057,279471
385,-90.14377730984052,280471
386,200.4499061470977,280778
387,-46.01975814914713,280972
388,62.76475943515428,281171
389,13.06801004729424,281786
390,251.5591164993716,282786
391,267.53595812432485,283786
392,-29.89293987599747,284786
393,89.62415558424473,285786
394,-65.85158368539345,286786
395,240.0134049609161,287786
396,237.94020857116152,288786
397,204.56088816534657,289786
398,-75.68488721690692,290786
399,185.1183603497743,291786
400,-118.75506654192286,292786
401,-104.0106856480036,293105
402,239.76815733488544,293368
403,-69.00172847699359,294277
404,211.5765718878517,295277
405,276.7716307060951,296277
406,162.2230636847958,296456
407,-169.12542626237638,297456
408,150.70462887384136,298279
409,201.59505246945105,299279
410,213.56269343825988,300279
411,-26.67395447007661,301279
412,120.7884001423921,302279
413,-150.9003164261193,303081
414,224.9002085684004,304081
415,-68.87774454937751,304246
416,188.6079812121163,305246
417,-46.04023073535733,306246
418,225.67237033252724,306430
419,-63.76643345838224,307069
420,-173.9911099993209,307434
421,195.69874538901345,308434
422,-125.49085881585388,308570
423,-79.16028742154953,309570
424,-115.2448008664748,310570
425,243.27295113063025,311036
426,-127.2484685329603,312036
427,-18.0479503968884,313036
428,192.9891097557866,314036
429,181.0384827529357,315036
430,251.1703068176992,315275
431,215.9627256417756,316275
432,213.02198215065383,317249
433,-19.794912330054515,318249
434,15.565871430307295,319249
435,-70.57489622562342,320249
436,-74.57551917775918,321249
437,191.76438299436697,321580
438,-57.133427021564,322580
439,-116.12599202720058,323580
440,-47.97439507201296,324580
441,221.41813202743924,325580
442,21.305959692869948,326580
443,-46.402286164742094,327580
444,-69.75734673122683,328580
445,231.633718891579,329580
446,-115.2763075521402,329922
447,192.7186739212308,330088
448,-51.251938224796994,330496
449,222.68784364382708,331496
450,240.6875574376733,332496
451,186.7754563607249,333496
452,-92.28761042574465,333693
453,203.6688166615116,334693
454,-31.862541942156952,334889
455,-5.1029821735205445,335095
456,176.4939180908728,336095
457,208.1062567305984,337095
458,143.76169919563435,337811
459,222.4548416539404,338811
460,-91.27692039842805,339811
461,122.06168546522804,339967
462,-42.446524085076966,340967
463,129.3127791897072,341967
464,-72.57937846849826,342967
465,161.73445355663853,343967
466,242.95590170238032,344967
467,-66.06358227011081,345967
468,21.218918850492827,346967
469,208.66524915624885,347967
470,249.2834546249921,348967
471,165.749952058921,349967
472,-66.63728823743799,350967
473,211.46914774579707,351967
474,245.906550374796,352967
475,-39.98940275562065,353335
476,-53.398806331553416,354335
477,-4.282048557880785,355335
478,223.13378140486293,356335
479,-41.17590745932351,357335
480,202.68923150385604,358335
481,251.0867845179509,359335
482,246.6857718441721,360335
483,192.9662000611044,361335
484,-76.09465034365655,362335
485,-44.03934574859595,363335
486,246.82967560393504,364335
487,195.7814283987513,365335
488,178.63452730566888,366335
489,-9.950565525345548,367335
490,204.39976337273148,368335
491,200.21863002458264,369335
492,221.5035736753262,370335
493,155.10691007517096,371335
494,22.70783778379588,372335
495,-21.455201612451365,372707
496,223.4975161235896,373707
497,184.89225756852613,374707
498,227.95091301356075,375707
499,206.3932604842672,376707
500,237.16641783282256,377707
501,-13.322922573996948,378707
502,-97.69576925501428,379707
503,-51.49606366335122,380707
504,253.1638651035616,381707
505,-8.442331349267402,381799
506,148.50536538280522,382799
507,226.19593455884447,383799
508,187.5001955275609,384799
509,254.58707173639232,385799
510,-18.333979805415943,386799
511,227.5565066343352,387799
512,-36.83438188055294,388799
513,190.4283685853692,389799
514,-33.733180072697735,390799
515,201.8115518108943,391799
516,-23.3856787083085,392799
517,251.8057514869528,393799
518,117.86780915964592,394799
519,269.70736158868783,395206
520,193.701462567922,396206
521,222.66115502411105,397206
522,239.96698566131025,398206
523,221.94183349558648,399206
524,223.253630554998,400206
525,193.74944375572863,401206
526,202.99120487750537,402206
527,197.9089837839653,402389
528,249.19511397903864,403389
529,258.8321370948568,404389
530,176.46147124026515,405389
531,192.5509061983332,406389
532,126.65048297654558,407389
533,220.57657173172265,408389
534,180.8714401499646,409389
535,174.67276172746867,410389
536,234.68363638724333,411389
537,170.96987309490223,411465
538,259.55062486588565,412465
539,270.9275099982675,413001
540,176.90138453232697,414001
541,251.2346164878849,415001
542,202.3265743644952,416001
543,253.48895406981745,417001
544,174.55105324907203,418001
545,225.77846286793468,418112
546,188.69814608850567,419112
547,159.80835988932563,420112
548,186.27773314537453,420199
549,206.09885934952607,421199
550,98.37982674086004,421268
551,27.82797577503136,421379
552,275.74719575614563,422379
553,209.61513867419413,423379
554,248.99690414505287,424379
555,260.42128673580487,425379
556,188.54822097871727,426379
557,201.74477701631736,427379
558,191.13148438315991,428379
559,136.82714584684277,429379
560,219.78489573914777,430379
561,214.6523554127405,431379
562,165.25805430687126,431923
563,191.90916444103857,432923
564,226.93820801072548,433923
565,200.56458350071068,434923
566,173.0205148399284,435717
567,177.96810503202897,436717
568,123.02236280568404,437717
569,-25.420442611328905,438717
570,254.68927516019968,439717
571,235.8983646459972,440717
