episode,train_step,EpisodeLength,TotalReward,EpisodeTime
0,1000,94,-288.7382809817791,0.8369761000000002
1,1000,148,-284.9459436885081,1.4629743
2,1000,111,-272.27122054994106,1.1073614000000003
3,1000,127,-314.3322788402438,1.3715279000000002
4,1000,96,-343.95648169517517,1.1629974999999995
5,1000,89,-312.86073702573776,0.9012535999999987
6,1000,88,-487.3072420358658,1.1496134999999992
7,1000,173,-519.7271834686399,1.8052803000000015
8,1000,103,-399.3211854416877,1.1960993000000002
9,1000,136,-179.23981214407831,1.3210978999999998
10,1000,214,-726.9544687792659,2.377912300000002
11,1000,134,-256.24487407132983,1.4421901999999989
12,1000,123,-242.28244171850383,1.2919945999999989
13,1000,162,-1156.7774702906609,1.7645885000000021
14,1000,221,-818.7772985324264,2.3088954999999984
15,1000,161,-203.51783604733646,1.7657868000000008
16,1500,231,-299.8829323207028,2.548984400000002
17,1500,216,-478.2059209647123,2.5414461000000017
18,1500,157,-534.3299703155644,1.8168302999999995
19,1500,190,-452.9770150666591,2.0540954000000013
20,1500,83,-26.117279074154794,0.8626752999999994
21,1500,112,-1042.1993978321552,1.1880935000000008
22,1500,63,-383.52478182315826,0.7626066999999992
23,1500,85,-552.2535853013396,0.8704707999999997
24,1500,110,44.5691749881953,1.0860230000000044
25,1500,56,-142.03894697874784,0.5892195999999998
26,1500,173,-7.521264380775392,1.6931900999999954
27,1500,64,-203.8763347377535,0.7848998000000051
28,1500,177,-209.42877938388847,1.8904879000000037
29,1500,111,-37.16087067127228,1.1588313000000028
30,2000,1000,-275.2801223209317,14.537962900000004
31,2000,1000,-97.14042450359557,14.108786599999995
32,2500,1000,-163.11001485283487,12.9620879
33,2500,1000,-78.89244716434041,13.552045699999994
34,2500,1000,-104.44126713339938,12.982351300000005
35,3000,1000,-85.78698670165613,12.850449499999982
36,3000,1000,-67.71376177726052,14.510875499999997
37,3500,1000,-65.08584513803362,13.789215800000022
38,3500,1000,-99.94244281074498,13.460330400000004
39,4000,1000,-132.4581280928105,12.848364299999986
40,4000,1000,-142.47510834457353,13.600994700000001
41,4000,1000,-116.75989558640867,12.159706900000003
42,4500,1000,-147.0179350755934,12.740362099999999
43,4500,889,-626.1073233783245,11.124764900000002
44,5000,829,-521.242711458588,10.8925768
45,5000,367,-636.3687998428941,4.204123700000025
46,5000,133,-438.1581158079207,1.5982807999999977
47,5000,413,-654.6625214763917,5.251681200000007
48,5000,274,-871.3520557722077,3.1556613999999854
49,5000,290,-513.4302471852861,3.349215500000014
50,5000,140,-729.7632182091475,1.692260899999951
51,5000,140,-856.7512563988566,1.6453592000000299
52,5000,148,-952.8485447354615,1.6983693000000244
53,5000,139,-554.3384424448013,1.6264858000000117
54,5000,106,-265.3470930457115,1.2177778999999873
55,5000,117,-350.86899765301496,1.512192999999968
56,5500,328,-1033.9610145315528,3.9135032000000365
57,5500,331,-579.4630963401869,3.9151327999999808
58,5500,178,-525.6675373464823,2.0758776000000125
59,5500,206,-372.607897894457,2.3733455999999933
60,5500,119,-324.07540602236986,1.3404307999999787
61,5500,142,-570.2507583126426,1.6357319999999618
62,5500,152,-735.1659732549451,1.7388959999999543
63,5500,144,-446.7010776437819,1.844486599999982
64,5500,343,-242.09681824035943,3.9779800000000023
65,5500,182,-567.1878821256978,1.9837952000000314
66,5500,232,-551.441236205399,2.842414299999973
67,5500,181,-697.3980699032545,1.9779844000000253
68,6000,165,-643.5515115968883,2.0823190999999497
69,6000,419,-652.8551808213815,5.088732300000004
70,6000,223,-746.1155625581741,2.703500599999984
71,6000,175,-662.0989158526063,2.1329165999999873
72,6000,147,-415.4951929533854,1.672365099999979
73,6000,176,-316.7640645429492,2.0823703000000364
74,6000,164,-442.26960904337466,2.1633367999999678
75,6000,98,-371.66489953547716,1.2916574000000196
76,6000,162,-628.5869761630893,1.945458599999995
77,6000,146,-582.5854541081935,1.6746633000000202
78,6000,148,-644.2083232551813,1.7582481999999686
79,6000,151,-743.1022374108434,1.7593082000000209
80,6000,162,-433.10088075324893,1.7883519000000092
81,6000,155,-552.3691171314567,1.7640761999999768
82,6000,155,-528.48014655523,1.7673143000000096
83,6500,159,-260.66179432719946,1.9755538000000001
84,6500,158,-114.94002943113446,1.9258259000000066
85,6500,161,-315.96626545861363,1.9813131000000226
86,6500,237,-666.0379437068477,2.8454100000000153
87,6500,222,-213.39575075171888,2.59735569999998
88,6500,142,-411.497370111756,1.5025872999999592
89,6500,188,-398.8747487962246,2.2171094999999923
90,6500,145,-403.8482195138931,1.6488459000000262
91,6500,146,-366.09913412854075,1.7945727000000034
92,6500,143,-218.74137395696016,1.6754684999999654
93,6500,152,-327.7476354315877,1.6738349999999969
94,6500,148,-760.8762894570827,1.6784387000000152
95,6500,127,-499.05170895159245,1.6041615999999976
96,6500,101,-494.48851410811767,1.1738144999999918
97,6500,102,-473.734367582947,1.206651499999964
98,6500,135,-562.4848401756026,1.6068581999999765
99,6500,142,-710.1455867066979,1.6630886999999461
100,7000,110,-180.14410776738077,1.3561468000000332
101,7000,105,-486.1177945602685,1.2484821000000466
102,7000,108,-375.31908332929015,1.2516358999999966
103,7000,122,-427.9996495526284,1.4611313999999993
104,7000,134,-810.6515050902963,1.6477836000000252
105,7000,114,-147.8954895362258,1.1904030000000034
106,7000,123,-526.5193163892254,1.5329207999999994
107,7000,100,-415.1781695075333,1.1763333999999759
108,7000,101,-425.5972822718322,1.0652103000000466
109,7000,103,-483.6055809194222,1.2641275000000292
110,7000,117,-198.69470589980483,1.3444435000000112
111,7000,116,-72.69585213810205,1.3910816999999724
112,7000,129,-310.85320601053536,1.471532599999989
113,7000,114,-91.35842803120613,1.3487478000000124
114,7000,114,-325.9269876331091,1.2820576999999957
115,7000,149,-505.8348932918161,1.7865607000000523
116,7000,139,-1006.7300872206688,1.6072597999999516
117,7000,148,-459.97493128478527,1.7649349000000143
118,7000,124,-502.0593814570457,1.4892842000000428
119,7000,139,-1025.906655089464,1.728864499999986
120,7000,132,-543.7516756430268,1.535953099999972
121,7000,133,-521.6380847916007,1.5305693999999903
122,7500,154,-247.23510817904025,1.735260299999993
123,7500,153,-194.94799591228366,1.9021561000000133
124,7500,101,-874.9125863909721,1.1889914000000203
125,7500,105,-443.54247088730335,1.2442875000000413
126,7500,141,-1010.744990917854,1.7111368999999854
127,7500,170,-573.864444357343,1.9011125000000106
128,7500,122,58.98594760335982,1.4631256000000121
129,7500,122,-234.2287024827674,1.3831877000000077
130,7500,135,-470.0155262835324,1.6632950999999707
131,7500,121,-193.08302406966686,1.3609447000000046
132,7500,153,-383.54602209012955,1.759913900000015
133,7500,128,-433.98414204083383,1.5442301999999586
134,7500,123,-374.866137124598,1.4006640000000061
135,7500,119,-85.48291218746454,1.3908873999999969
136,7500,131,-545.429001480341,1.542672800000048
137,7500,103,-294.11846797540784,1.1962388000000033
138,7500,147,-568.2015239819884,1.818535699999984
139,7500,129,-56.83396455645561,1.5296924000000445
140,7500,94,-813.6626765877008,1.087178799999947
141,7500,98,-974.6343815028667,1.1353884999999764
142,8000,114,-173.7727934755385,1.3150719000000208
143,8000,91,-910.0208902433515,1.177304300000003
144,8000,119,-435.2878013327718,1.4449040000000082
145,8000,151,29.70503432303667,1.7336061000000313
146,8000,98,-1028.7516555339098,1.1394081999999912
147,8000,146,-438.70853537879884,1.6382496000000515
148,8000,114,-140.2135281022638,1.4001645999999823
149,8000,121,-213.36908235400915,1.4165823999999816
150,8000,117,-134.84527890384197,1.3741349000000014
151,8000,98,-984.5872745811939,1.1060287000000244
152,8000,98,-992.6828660368919,1.2394840000000045
153,8000,134,-489.3936921553686,1.5282373000000007
154,8000,116,-233.53247845824808,1.390472299999999
155,8000,150,-287.07766381651163,1.7756352000000106
156,8000,115,-442.9721449613571,1.2368642999999793
157,8000,125,-413.85555720329285,1.508459700000003
