episode,length,step
0,72,159
1,63,241
2,68,305
3,77,389
4,78,454
5,138,539
6,98,615
7,80,695
8,76,768
9,50,846
10,72,901
11,92,1024
12,100,1141
13,69,1231
14,129,1301
15,133,1389
16,110,1583
17,1000,1877
18,467,2877
19,220,3385
20,257,3618
21,150,4618
22,959,4781
23,148,5004
24,178,5177
25,135,5877
26,230,6012
27,130,6138
28,435,6344
29,135,6498
30,139,6705
31,124,6834
32,141,6941
33,130,7092
34,142,7348
35,147,7572
36,171,7712
37,94,7852
38,152,7985
39,105,8121
40,82,8302
41,84,8391
42,86,8504
43,118,8616
44,112,8715
45,83,8818
46,164,8966
47,140,9073
48,134,9187
49,137,9320
50,127,9471
51,144,9566
52,128,9712
53,122,9865
54,93,9970
55,135,10087
56,140,10230
57,110,10341
58,136,10455
59,218,10596
60,88,10696
61,97,10831
62,181,10946
63,785,11052
64,131,11173
65,108,11289
66,360,11436
67,156,11879
68,103,12045
69,149,12214
70,85,12370
71,100,12463
72,480,13463
73,322,13943
74,143,14102
75,107,14296
76,201,14480
77,241,14645
78,196,14812
79,215,14992
80,837,15252
81,224,15599
82,265,15725
83,347,15950
84,263,16129
85,208,16557
86,277,16722
87,306,16848
88,258,17020
89,336,17178
90,607,17313
91,144,17478
92,222,17644
93,279,17799
94,242,17964
95,513,18136
96,204,18314
97,1000,18455
98,1000,18575
99,1000,19575
100,1000,19811
101,1000,20811
102,1000,21811
103,1000,22019
104,1000,23019
105,1000,24019
106,1000,25019
107,1000,26019
108,1000,27019
109,1000,28019
110,1000,29019
111,1000,30019
112,1000,31019
113,1000,32019
114,1000,33019
115,1000,34019
116,1000,35019
117,1000,36019
118,1000,37019
119,1000,38019
120,1000,39019
121,1000,40019
122,1000,41019
123,1000,42019
124,1000,43019
125,713,44019
126,1000,45019
127,1000,46019
128,1000,47019
129,1000,48019
130,1000,49019
131,398,50019
132,1000,51019
133,1000,52019
134,1000,53019
135,1000,53613
136,1000,54613
137,1000,55613
138,1000,56613
139,1000,57613
140,1000,58613
141,1000,59613
142,1000,60613
143,1000,61613
144,1000,62613
145,1000,63613
146,1000,64613
147,1000,65613
148,1000,66613
149,1000,67613
150,1000,67932
151,1000,68850
152,1000,69850
153,1000,69903
154,1000,70903
155,1000,71903
156,1000,72903
157,183,72978
158,1000,73978
159,1000,74978
160,1000,75978
161,1000,76978
162,1000,77978
163,1000,78978
164,1000,79978
165,1000,80978
166,1000,81978
167,1000,82726
168,1000,83726
169,1000,84726
170,1000,85726
171,1000,86726
172,1000,87726
173,1000,88726
174,1000,89726
175,1000,90164
176,1000,91164
177,1000,91241
178,1000,92241
179,1000,93241
180,1000,94241
181,1000,95241
182,1000,96241
183,294,96790
184,49,96860
185,1000,97860
186,1000,98860
187,1000,99860
188,1000,100860
189,1000,101860
190,1000,101968
191,432,102968
192,1000,103968
193,160,104968
194,1000,105968
195,1000,106968
196,1000,107495
197,65,107585
198,1000,107677
199,107,107755
200,65,108755
201,689,109755
202,595,110509
203,130,110585
204,1000,110991
205,1000,111991
206,1000,112091
207,1000,112264
208,93,113162
209,84,113243
210,82,113364
211,1000,113433
212,225,113521
213,829,113918
214,52,114458
215,67,114555
216,1000,115555
217,129,116537
218,238,117537
219,1000,117899
220,233,118020
221,169,119020
222,550,119100
223,131,120100
224,136,121078
225,1000,121247
226,428,121413
227,189,121515
228,295,121717
229,463,121872
230,113,122375
231,1000,123164
232,154,124080
233,474,124779
234,1000,124942
235,1000,125888
236,144,126073
237,1000,126370
238,684,126494
239,111,127313
240,1000,127885
241,106,128141
242,145,128280
243,820,128409
244,783,128802
245,268,128945
246,650,129427
247,1000,129518
248,960,129624
249,285,129769
250,251,130100
251,388,130271
252,384,130705
253,502,130903
254,346,131860
255,259,132110
256,637,133086
257,255,133363
258,216,133808
259,1000,134242
260,516,134821
261,826,135116
262,378,136116
263,736,137116
264,371,138116
265,323,138806
266,1000,139806
267,733,140184
268,227,140413
269,345,140663
270,609,141663
271,429,141863
272,519,142863
273,1000,143361
274,173,144361
275,183,144514
276,269,144869
277,968,145068
278,179,145993
279,141,146351
280,263,147351
281,390,148351
282,233,149351
283,180,150100
284,421,150491
285,606,150670
286,210,150874
287,489,150989
288,792,151989
289,586,152679
290,509,153679
291,494,153945
292,1000,154945
293,1000,155945
294,494,156945
295,393,157945
296,277,158350
297,1000,159350
298,1000,159427
299,978,160112
300,1000,160423
301,354,161423
302,1000,162423
303,385,162972
304,1000,163972
305,346,164676
306,229,165273
307,1000,166273
308,822,167273
309,1000,168273
310,1000,168469
311,1000,168930
312,438,169930
313,1000,170930
314,289,171930
315,503,172930
316,1000,173930
317,250,174930
318,1000,175930
319,1000,176930
320,1000,177930
321,1000,178930
322,1000,179119
323,1000,180119
324,1000,180377
325,1000,181377
326,1000,182377
327,1000,183377
328,1000,184377
329,1000,185377
330,1000,186377
331,1000,187377
332,1000,188377
333,1000,189377
334,394,190377
335,1000,191377
336,1000,192377
337,1000,193377
338,1000,194377
339,1000,195377
340,1000,196377
341,1000,197377
342,1000,198377
343,1000,199377
344,1000,200377
345,1000,201377
346,1000,202377
347,1000,203038
348,1000,204038
349,1000,205038
350,1000,206038
351,757,206375
352,1000,207375
353,1000,208375
354,1000,209375
355,1000,210375
356,1000,211375
357,1000,212375
358,1000,213375
359,1000,214375
360,1000,215375
361,1000,216375
362,1000,217375
363,1000,218375
364,1000,219375
365,1000,220375
366,1000,221375
367,1000,222375
368,1000,223375
369,1000,224375
370,1000,225375
371,1000,226375
372,1000,227375
373,1000,228375
374,1000,229375
375,1000,230375
376,1000,231375
377,607,232375
378,1000,233375
379,1000,234375
380,1000,235375
381,1000,236375
382,1000,237375
383,552,238375
384,1000,239375
385,1000,240375
386,1000,241375
387,1000,242375
388,1000,243375
389,1000,244375
390,1000,245375
391,1000,246375
392,1000,247375
393,1000,248375
394,1000,249375
395,1000,250375
396,413,251375
397,1000,252375
398,1000,253375
399,1000,254375
400,1000,255375
401,1000,256375
402,1000,257375
403,1000,258375
404,1000,259375
405,1000,260375
406,1000,261375
407,320,262375
408,1000,263375
409,1000,264375
410,1000,265375
411,362,266375
412,347,267375
413,1000,268375
414,1000,269375
415,428,270375
416,1000,270522
417,1000,270694
418,1000,271694
419,1000,272694
420,1000,273694
421,1000,274694
422,1000,275694
423,1000,276694
424,329,277694
425,468,278694
426,1000,279694
427,714,280694
428,694,281694
429,522,282694
430,1000,283694
431,1000,284694
432,1000,285694
433,481,286694
434,1000,287694
435,1000,288694
436,1000,289694
437,1000,290694
438,278,291694
439,1000,292694
440,421,293694
441,1000,294694
442,248,295694
443,1000,296694
444,1000,297694
445,1000,298694
446,713,299694
447,415,300694
448,275,301694
449,1000,302694
450,1000,303694
451,930,304694
452,1000,305694
453,974,306694
454,601,307694
455,1000,308228
456,685,309228
457,524,310228
458,1000,311228
459,432,312228
460,544,313228
461,821,314228
462,840,315228
463,1000,316228
464,1000,317228
465,384,318228
466,1000,319228
467,678,320228
468,890,321228
469,1000,322228
470,843,323228
471,1000,324228
472,557,325228
473,464,326228
474,969,327228
475,1000,328228
476,355,329228
477,830,330081
478,354,331081
479,1000,332081
480,424,333081
481,910,334081
482,709,335081
483,788,336081
484,656,337081
485,1000,338081
486,360,339081
487,1000,340081
488,508,341081
489,1000,342081
490,1000,343081
491,742,343379
492,376,344379
493,977,345379
494,567,346379
495,1000,347379
496,987,348379
497,687,349379
498,821,350379
499,354,351379
500,1000,352379
501,272,353379
502,239,354379
503,1000,355379
504,420,356379
505,1000,357379
506,1000,358379
507,411,359379
508,343,360379
509,609,361379
510,1000,362379
511,1000,363379
512,660,364379
513,1000,365379
514,1000,366379
515,1000,367379
516,1000,368379
517,707,369379
518,430,370379
519,677,371379
520,311,372379
521,336,373379
522,336,374379
523,310,375379
524,314,376379
525,1000,377379
526,1000,378379
527,1000,379379
528,345,380379
529,1000,381379
530,907,382379
531,268,383379
532,443,384379
533,416,385379
534,413,386379
535,452,387379
536,387,387482
537,179,388482
538,310,389482
539,203,390482
540,1000,390592
541,479,391592
542,432,391752
543,183,392752
544,413,393752
545,297,393855
546,758,394855
547,297,394978
548,246,395978
549,1000,396978
550,318,397978
551,124,398978
552,201,399978
553,340,400978
554,191,401978
555,547,402978
556,366,403978
557,200,404978
558,369,405978
559,526,406095
560,432,406230
561,193,406325
562,1000,406448
563,1000,406559
564,207,407559
565,358,408559
566,388,409091
567,406,410091
568,890,411091
569,1000,412091
570,188,413091
571,335,414091
572,293,414408
573,153,415408
574,203,416408
575,224,417408
576,454,418408
577,205,419408
578,426,420408
579,1000,421408
580,544,422408
581,502,423408
582,190,424408
583,1000,425408
584,180,426408
585,421,427408
586,854,428408
587,172,429408
588,263,430408
589,405,431408
590,171,432237
591,169,433237
592,865,434237
593,179,435237
594,1000,436237
595,390,437237
596,524,438237
597,615,439237
598,638,440237
599,746,440741
600,460,441741
601,359,442741
602,740,443741
603,289,444741
604,1000,445741
605,837,446741
606,402,447741
607,575,448741
608,164,449741
609,324,450741
610,343,451741
611,1000,452741
612,439,453741
613,1000,454741
614,334,455741
615,184,456741
616,248,457741
617,372,458741
618,850,459741
619,270,460741
620,349,461741
621,392,462741
622,367,463741
623,969,463956
624,1000,464956
625,574,465956
626,186,466956
627,327,467956
628,183,468956
629,227,469956
630,206,470956
631,336,471956
632,918,472956
633,247,473956
634,506,474956
635,1000,475956
636,390,476956
637,249,477956
638,342,478956
639,277,479956
640,335,480956
641,614,481956
642,191,482956
643,223,483106
644,201,484106
645,908,485106
646,376,486106
647,612,487106
648,166,488106
649,175,489106
650,239,490106
651,489,491106
652,163,491205
653,242,492205
654,1000,493205
655,414,494205
656,418,495205
657,542,496205
658,238,497205
659,236,498205
660,361,499205
661,155,500205
662,179,501205
663,254,502205
664,850,503205
665,469,504205
666,404,505205
667,255,506205
668,193,507205
669,283,508205
670,168,509205
671,221,509284
672,255,510284
673,386,511284
674,263,512284
675,182,513284
676,158,514284
677,1000,515284
678,169,516284
679,199,517284
680,350,518284
681,297,519284
682,230,520284
683,1000,521284
684,180,522284
685,420,523284
686,212,524284
687,521,525284
688,365,526284
689,235,527284
690,240,528284
691,301,529284
692,316,530284
693,220,531284
694,499,532284
695,263,533284
696,478,534284
697,954,535284
698,304,536284
699,208,537284
700,324,537708
701,305,538708
702,163,539708
703,488,540708
704,422,541708
705,213,542708
706,1000,543708
707,327,543910
708,241,544910
709,247,545910
710,204,546910
711,383,547910
712,221,548910
713,186,549910
714,242,550910
715,170,551910
716,543,552910
717,203,553910
718,246,554910
719,529,555910
720,254,556910
721,282,557910
722,440,558910
723,172,559054
724,294,560054
725,213,561054
726,236,562054
727,227,563054
728,440,564054
729,382,565054
730,233,566054
731,165,567054
732,249,567172
733,186,568172
734,214,569172
735,192,569340
736,279,570340
737,146,571340
738,147,572340
739,571,572427
740,214,573427
741,148,574427
742,186,575427
743,225,576427
744,400,576512
745,241,577512
746,253,578512
747,169,579512
748,195,580512
749,191,581512
750,286,582512
751,232,583512
752,205,584512
753,1000,585512
754,291,586512
755,203,587512
756,209,587616
757,159,588616
