episode,train_step,EpisodeLength,TotalReward,EpisodeTime
0,1000,63,-169.96617698669434,0.5589398999999999
1,1000,62,-129.51850873231888,0.7256497
2,1000,71,-140.0845703613013,0.9054636
3,1000,53,-117.76325843576342,0.4938767999999998
4,1500,70,-157.28616878390312,0.7863879000000003
5,1500,61,-117.93460744339973,0.6501532000000001
6,1500,84,-94.04360218346119,0.8321597999999994
7,1500,58,-114.25863545760512,0.597275999999999
8,1500,60,-116.83546302095056,0.6089801999999995
9,1500,85,-165.72122874017805,0.9012946999999993
10,1500,74,-121.33635923406109,0.7890408999999998
11,1500,77,-86.15916679054499,0.8034252000000013
12,1500,91,-393.38714867830276,0.9614890000000003
13,1500,121,-45.42576175741851,1.2695036000000002
14,1500,109,-623.2020989218727,1.2199541999999983
15,1500,69,-772.2567204236984,0.9876004000000016
16,1500,70,-848.8584181070328,0.7592323000000007
17,1500,71,-877.9199252128601,0.9224406000000016
18,1500,99,-1364.5196146350354,1.2405167000000006
19,1500,138,-2131.9742333889008,1.7562162000000008
20,1500,56,-696.6783479452133,0.771241100000001
21,1500,104,-1377.2463322728872,1.3701393999999993
22,1500,100,-1115.1914344877005,1.2944758000000007
23,1500,100,-1307.7927052024752,1.158321700000002
24,1500,114,-1512.3843576349318,1.3638973000000014
25,1500,133,-2002.450183391571,1.6465262999999979
26,1500,68,-845.9956010580063,0.7989731999999989
27,1500,101,-1313.154019659385,1.3065469000000007
28,1500,85,-1047.0759082138538,1.0460290999999984
29,1500,60,-763.3791599273682,0.7559697000000014
30,1500,98,-1284.646609544754,1.1800055
31,1500,57,-749.8864319324493,0.7556840999999963
32,2000,87,-1116.1829807758331,1.0428066999999999
33,2000,93,-1237.1359632015228,1.2868752999999984
34,2000,58,-708.4889368414879,0.8771483000000018
35,2000,103,-1196.7231758013368,1.3915073000000007
36,2000,80,-967.8066470623016,1.069515200000005
37,2000,91,-1073.4623758867383,1.032082899999999
38,2000,108,-1305.943667013431,1.492366600000004
39,2000,57,-746.3558130264282,0.7977911999999989
40,2000,110,-1487.1841013282537,1.4918892000000028
41,2000,90,-1156.4361810684204,1.2661536000000027
42,2000,74,-882.8214664459229,1.0894537
43,2000,60,-792.8215470314026,0.7009064000000009
44,2000,63,-808.9893198013306,0.8080629999999971
45,2000,126,-1831.7009465694427,1.663510499999994
46,2000,79,-828.6128202676773,1.0235573000000002
47,2000,55,-709.9888533949852,0.742717600000006
48,2000,68,-823.8665816783905,0.8086611000000019
49,2000,114,-1434.5051987320185,1.5015372999999954
50,2000,142,-2017.0498351939023,1.7995665000000045
51,2000,58,-769.4968858957291,0.826065100000001
52,2000,77,-941.7715060710907,0.9056753999999998
53,2000,128,-1820.6058831810951,1.5355550999999963
54,2000,124,-1801.0410672426224,1.6278361999999902
55,2000,120,-1739.6373644471169,1.3642942999999974
56,2000,61,-764.9173340797424,0.800409700000003
57,2000,113,-1587.0896886144765,1.2520312999999987
58,2500,74,-905.0643768310547,0.9401454000000058
59,2500,59,-732.3508476018906,0.9135118999999889
60,2500,91,-1168.4497724175453,1.1053481000000005
61,2500,65,-804.30060338974,0.8123496999999986
62,2500,58,-780.1843018531799,0.7704183000000029
63,2500,131,-1990.629071354866,1.5443225999999868
64,2500,79,-953.6201686859131,1.0037804000000108
65,2500,86,-813.1720503158867,0.9858772000000044
66,2500,73,-841.7157641649246,0.9228968000000037
67,2500,58,-758.7587099075317,0.6664379999999994
68,2500,124,-1707.7805775403976,1.5392540999999937
69,2500,102,-1255.5536038279533,1.1992197000000004
70,2500,139,-1995.0093869008124,1.6119443000000047
