episode,length,step
0,193,81
1,87,173
2,58,293
3,50,386
4,78,471
5,58,540
6,81,605
7,77,689
8,82,765
9,79,850
10,75,926
11,91,1008
12,107,1088
13,94,1210
14,62,1310
15,117,1461
16,144,1588
17,69,1701
18,66,1772
19,53,1850
20,90,1937
21,60,2033
22,62,2116
23,51,2201
24,77,2286
25,82,2339
26,75,2417
27,59,2495
28,245,2579
29,52,2638
30,57,2698
31,122,2806
32,282,2967
33,275,3080
34,84,3275
35,196,3490
36,135,3686
37,161,3851
38,138,4551
39,277,4718
40,294,5073
41,270,5587
42,602,5784
43,214,5969
44,143,6172
45,954,6942
46,1000,7942
47,446,8635
48,1000,8986
49,313,9986
50,351,10703
51,1000,11703
52,1000,12703
53,1000,13703
54,1000,14703
55,1000,15703
56,1000,16703
57,1000,17703
58,866,18703
59,531,19703
60,794,20703
61,1000,21703
62,1000,22703
63,1000,23703
64,1000,24703
65,1000,25703
66,1000,26703
67,1000,27703
68,1000,28703
69,1000,29703
70,1000,30703
71,1000,31703
72,1000,32703
73,1000,33703
74,1000,34703
75,1000,35703
76,1000,35917
77,1000,36917
78,1000,37917
79,1000,38205
80,1000,39205
81,1000,40205
82,489,40377
83,1000,41377
84,1000,41634
85,1000,42016
86,1000,42506
87,660,43506
88,198,43871
89,1000,44126
90,1000,45126
91,356,46126
92,1000,47126
93,1000,48126
94,261,49126
95,411,49374
96,1000,49602
97,1000,49818
98,903,50818
99,737,51818
100,1000,52818
101,1000,53818
102,1000,54818
103,1000,55818
104,1000,56818
105,1000,57818
106,1000,58818
107,1000,59818
108,1000,60818
109,522,61818
110,1000,62818
111,1000,63818
112,1000,64818
113,1000,65818
114,1000,66818
115,567,67818
116,1000,68818
117,1000,69818
118,687,70818
119,1000,71818
120,1000,72818
121,1000,73818
122,1000,74818
123,1000,75818
124,1000,76818
125,1000,77818
126,611,78818
127,866,79818
128,571,80615
129,1000,81615
130,550,82615
131,896,83615
132,811,84615
133,839,85231
134,961,86193
135,1000,87193
136,648,88193
137,1000,89193
138,712,90193
139,425,91125
140,752,92125
141,1000,93125
142,1000,94125
143,1000,94757
144,549,95583
145,733,96583
146,194,97583
147,962,98583
148,735,99583
149,1000,100583
150,895,101583
151,978,102583
152,668,103491
153,801,104491
154,1000,105491
155,1000,106491
156,1000,107491
157,715,108491
158,811,109491
159,823,110271
160,263,111190
161,1000,112190
162,825,113190
163,1000,114190
164,1000,115190
165,379,115928
166,1000,116118
167,597,117118
168,953,118118
169,679,119118
170,1000,119749
171,1000,120749
172,205,121082
173,220,121602
174,899,122602
175,832,123602
176,436,124602
177,1000,125602
178,629,126602
179,777,127602
180,925,128602
181,649,128961
182,1000,129778
183,307,130778
184,1000,131778
185,1000,132122
186,1000,133122
187,1000,134122
188,224,135067
189,1000,136067
190,631,136370
191,155,137370
192,896,137867
193,1000,138867
194,1000,139867
195,721,140867
196,668,141867
197,439,142867
198,1000,143867
199,227,144867
200,1000,145268
201,212,146268
202,214,146923
203,419,147923
204,1000,148093
205,457,148261
206,1000,149261
207,462,150036
208,1000,150310
209,1000,151310
210,1000,152310
211,810,153031
212,581,153633
213,1000,154633
214,1000,155633
215,609,156633
216,463,157475
217,182,158475
218,294,158930
219,765,159930
220,1000,160622
221,255,160875
222,993,161634
223,548,161823
224,690,162059
225,1000,163059
226,643,163247
227,1000,164247
228,140,165247
229,478,166247
230,495,166963
231,774,167451
232,150,168451
233,1000,169451
234,647,170451
235,344,171451
236,497,172451
237,633,173451
238,1000,173870
239,1000,174870
240,1000,175870
241,1000,176870
242,544,177870
243,331,178870
244,153,179870
245,574,180870
246,1000,181099
247,1000,182099
248,505,183099
249,382,184099
250,540,185099
251,807,186099
252,1000,187099
253,217,188099
254,395,189099
255,347,189353
256,666,190353
257,162,191353
258,1000,192353
