episode,length,step
0,102,99
1,95,197
2,95,286
3,56,383
4,68,465
5,135,536
6,124,642
7,53,737
8,78,800
9,76,868
10,72,950
11,113,1045
12,76,1156
13,162,1297
14,89,1387
15,230,1486
16,115,1578
17,108,1722
18,184,1861
19,88,2034
20,147,2164
21,114,2248
22,420,2455
23,100,2570
24,114,3570
25,212,3773
26,155,4135
27,190,4337
28,140,4470
29,138,4593
30,79,4705
31,71,4789
32,76,4901
33,88,5065
34,88,5221
35,178,5424
36,249,5576
37,126,5700
38,118,5858
39,148,5999
40,215,6130
41,117,6320
42,129,6466
43,239,6640
44,117,6785
45,154,6937
46,186,7069
47,155,7318
48,280,7600
49,282,7791
50,304,7991
51,313,8124
52,225,8391
53,209,8787
54,180,8918
55,172,9132
56,135,9273
57,246,9454
58,141,9615
59,141,9746
60,210,9857
61,140,9979
62,89,10134
63,79,10239
64,152,10392
65,154,10559
66,143,10722
67,187,10852
68,169,11010
69,148,11158
70,140,11279
71,134,11473
72,185,11831
73,202,12018
74,186,12244
75,129,12414
76,90,12571
77,85,12663
78,138,12797
79,374,12907
80,108,13059
81,186,13468
82,178,13666
83,144,13856
84,348,14040
85,500,14173
86,203,14703
87,337,14854
88,158,15115
89,1000,15449
90,164,15598
91,674,15766
92,1000,15937
93,253,16087
94,169,16265
95,547,16424
96,249,16600
97,170,16729
98,129,16880
99,155,16993
100,242,17153
101,138,17352
102,183,17484
103,440,17679
104,237,17937
105,1000,18096
106,126,18393
107,131,18516
108,135,18650
109,300,18787
110,174,18959
111,281,19182
112,1000,19355
113,912,19587
114,247,19770
115,191,19939
116,638,20143
117,142,20326
118,347,20445
119,268,20700
120,142,20853
121,130,20947
122,87,21144
123,123,21285
124,201,21449
125,322,21603
126,226,21735
127,141,22117
128,1000,22281
129,282,22433
130,1000,22684
131,121,22838
132,312,22991
133,180,23182
134,167,23448
135,501,23712
136,301,24135
137,305,24319
138,352,24838
139,371,25038
140,552,25345
141,323,26026
142,237,26207
143,438,26715
144,543,27318
145,601,27923
146,220,28571
147,247,28810
148,208,29197
149,274,29465
