episode,length,step
0,999,1000
1,999,1999
2,999,2998
3,999,3997
4,999,4996
5,999,5995
6,999,6994
7,999,7993
8,999,8992
9,999,9991
10,999,10990
11,999,11989
12,999,12988
13,999,13987
14,999,14986
15,999,15985
16,999,16984
17,999,17983
18,999,18982
19,999,19981
20,999,20980
21,999,21979
22,999,22978
23,999,23977
24,999,24976
25,999,25975
26,999,26974
27,999,27973
28,999,28972
29,999,29971
30,999,30970
31,999,31969
32,999,32968
33,999,33967
34,999,34966
35,999,35965
36,999,36964
37,999,37963
38,999,38962
39,999,39961
40,999,40656
41,999,41655
42,999,42654
43,999,43653
44,999,44652
45,999,45651
46,999,46650
47,999,47649
48,999,48648
49,999,49647
50,999,50646
51,999,51645
52,999,52454
53,999,53453
54,999,54452
55,999,55451
56,999,56450
57,999,57449
58,999,58448
59,999,59447
60,999,60375
61,999,61374
62,999,62373
63,999,63313
64,999,64312
65,999,65311
66,999,66310
67,999,67309
68,999,68308
69,999,69307
70,999,70306
71,999,71305
72,999,72304
73,999,73303
74,999,74150
75,999,75149
76,999,75586
77,999,76585
78,999,77508
79,999,78350
80,999,79349
81,999,80348
82,999,81347
83,999,82346
84,999,83345
85,999,84344
86,999,85343
87,999,86342
88,999,87277
89,999,88276
90,999,89275
91,999,90274
92,999,91273
93,999,92095
94,999,93094
95,999,94027
96,999,95026
97,999,96025
98,999,97024
99,999,98023
100,999,99022
101,999,100021
102,999,101020
103,999,102019
104,999,103018
105,999,104017
106,999,105016
107,999,106015
108,999,107014
109,999,108013
110,999,109012
111,999,110011
112,999,110950
113,999,111949
114,999,112948
115,999,113947
116,999,114946
117,999,115945
118,999,116944
119,999,117943
120,999,118942
121,999,119774
122,999,120773
123,999,121772
124,999,122771
125,999,123770
126,999,124769
127,999,125768
128,999,126767
129,999,127766
130,999,128765
131,999,129764
132,999,130763
133,999,131762
134,999,132761
135,999,133760
136,999,134759
137,999,135758
138,999,136757
139,999,137756
140,999,138755
141,999,139754
142,999,140753
143,999,141752
144,999,142751
145,999,143750
146,999,144749
147,999,145748
148,999,146747
149,999,147746
150,999,148745
151,999,149744
