episode,train_step,EpisodeLength,TotalReward,EpisodeTime
0,5000,999,-0.056866148334805716,6.380104900000001
1,6000,999,-0.1221327957464382,6.292282599999998
2,6000,999,-0.0668163673588642,7.8881923
3,7000,999,-0.37926098492971505,7.920587600000001
4,8000,999,-2.1943526724665574,7.683791300000003
5,8000,999,-1.9306151375640184,7.591579500000002
6,9000,999,-1.061239412127179,7.664752400000005
7,9000,999,-0.1610339505039388,7.757465399999994
8,10000,999,-0.009559574145256988,7.652448700000001
9,10000,999,-0.13881736522438684,7.452124699999999
10,11000,999,-0.23753245240368415,7.160365900000002
11,12000,999,-0.4862628299742937,6.988286299999999
12,12000,999,-1.05036680016201,7.126177999999996
13,13000,999,-1.6004339413484558,7.057395700000001
14,13000,999,-0.8749406173010357,7.453815299999988
15,14000,999,-1.3225235957943369,7.091537299999999
16,14000,999,-1.1166230161616113,7.292669599999996
17,15000,999,-1.2874060090398416,7.522295600000007
18,15000,999,-0.7841544601178612,7.457710399999996
19,16000,999,-0.3180868294543302,8.227332099999984
20,16000,999,-0.3185111809184491,7.615386799999982
21,17000,999,-0.3314921824469934,7.702202600000021
22,18000,999,-0.19353132392933503,7.697176799999994
23,18000,999,-2.165241621551104,7.560371900000007
24,19000,999,-4.107366736745462,7.533733799999993
25,19000,999,-3.4990278026089072,7.7266512000000205
26,20000,999,-4.249325887300074,7.19171799999998
27,20000,999,-4.3290812217164785,7.222705899999994
28,21000,999,-3.545912930974737,7.2843862
29,21000,999,-4.1898374625016,7.1962542999999926
30,22000,999,-2.868699765531346,7.084984099999986
31,22000,999,-3.0144976212759502,7.192333399999995
32,23000,999,-2.026808542723302,7.32646729999999
33,23000,999,-4.698709359276108,7.189237700000007
34,24000,999,-7.157716272864491,7.145895700000011
35,25000,999,-7.704599922057241,7.151392299999998
36,25000,999,-5.818418806884438,7.243322800000044
37,26000,999,-8.716473924461752,7.1124598000000105
38,26000,999,-10.036357712000608,7.139538499999958
39,27000,999,-7.398321270011365,7.1944511000000375
40,27000,999,-6.0487315761856735,7.070442899999989
41,28000,999,-6.784625958185643,7.331802799999991
42,28000,999,-5.9198126792907715,7.191072599999984
43,29000,999,-9.033355318475515,7.304059199999983
44,29000,999,-9.077100461814553,7.118165200000021
45,30000,999,-11.18820489384234,7.231960099999981
46,30000,999,-10.776057283394039,7.075252799999987
47,31000,999,-10.826387421227992,7.237275600000032
48,31000,999,-9.625226691365242,7.23005169999999
49,32000,999,-9.926649046130478,6.995583199999999
50,32000,999,-9.92361082136631,7.286798400000009
51,33000,999,-9.687349123880267,7.596886200000029
52,34000,999,-9.644925052300096,7.758029699999952
53,34000,999,-11.31554090604186,7.160858200000007
54,35000,999,-9.36002835445106,7.212544799999989
55,35000,999,-9.125434819608927,7.306583400000022
56,36000,999,-8.585684964433312,7.0708066999999915
57,36000,999,-8.22700651595369,7.190497900000025
58,37000,999,-7.660525222774595,7.345722799999976
59,37000,999,-8.023217832203954,7.189072399999986
60,38000,999,-9.182440328411758,7.169275800000037
61,38000,999,-9.06021010549739,7.217812200000026
62,39000,999,-8.0548274544999,7.177953300000013
63,39000,999,-9.246346418745816,7.181166499999961
64,40000,999,-10.173878512345254,7.285095400000046
65,40000,999,-9.644721128046513,7.135327700000005
66,41000,999,-10.332164815627038,7.091703800000005
67,41000,999,-8.868480786215514,7.167044400000009
68,42000,999,-6.023445098660886,7.197571200000027
69,42000,999,-8.484027130063623,7.3979898999999705
70,43000,999,-8.84402889944613,7.155193499999996
