episode,train_step,EpisodeLength,TotalReward,EpisodeTime
0,3000,999,-0.0006540287621914498,7.1847688
1,3000,999,-0.11062726380441745,7.648844800000001
2,4000,999,-0.06658558607538367,7.3350728000000025
3,5000,999,-0.018336371204441093,7.477648600000002
4,5000,999,-0.01688406881655581,7.2518399
5,6000,999,-0.3049624880501369,7.333084200000002
6,6000,999,-0.17156144223069875,7.085950099999998
7,7000,999,-0.08125845634640427,6.991360200000003
8,8000,999,-0.2211746764529039,7.040688599999996
9,8000,999,-0.22216826003397117,7.077730700000004
10,9000,999,-0.0368271864211959,7.129358100000005
11,9000,999,-0.16493574054572946,7.134689399999999
12,10000,999,-0.12332747712207492,7.122935699999999
13,10000,999,-0.8366342358131078,7.188479100000009
14,11000,999,-0.2745119661346962,6.868771999999993
15,12000,999,-0.5019012791903492,6.8084876000000065
16,12000,999,-0.13732765610122155,7.025109400000005
17,13000,999,-0.04120446142653833,7.117860399999998
18,13000,999,-0.25294323417438136,6.952189500000003
19,14000,999,-0.021845844386295922,7.104507000000012
20,14000,999,-5.772053268193645,6.989970299999982
21,15000,999,-8.093458154122345,7.1450220000000115
22,16000,999,-4.431181719177403,7.310199699999998
23,16000,999,-11.281706292647868,7.184419200000008
24,17000,999,-7.254773332737386,7.073728200000005
25,17000,999,-4.07883231859887,7.074450300000024
26,18000,999,-1.7090384926414117,7.174511499999994
27,18000,999,-1.8136605516192503,7.1026046000000065
28,19000,999,-0.217371475363052,7.051512300000013
29,20000,999,-1.9950389876915438,6.979631899999987
30,20000,999,-0.5116485649341485,7.014224000000013
31,21000,999,-0.5558571115980158,7.032381700000002
32,21000,999,-0.2972372878793976,7.042805399999992
33,22000,999,-0.1858413260442724,6.9817086999999844
34,22000,999,-0.6430376459320541,6.952640599999995
35,23000,999,-1.2659551744000055,7.013472100000001
36,23000,999,-1.458500954147894,7.118774599999995
37,24000,999,-1.4093727603321895,7.172640300000012
38,24000,999,-0.900182783982018,7.020448200000033
