episode,train_step,EpisodeLength,TotalReward,EpisodeTime
0,4000,999,-0.012891193386089905,6.304696900000001
1,5000,999,-0.014047458987988648,6.1192028999999994
2,5000,999,-0.17470808580870417,6.7088415999999995
3,6000,999,-0.4131007104627997,6.462012099999999
4,6000,999,-3.7500942209575427,7.822758199999999
5,7000,999,-3.75851040881158,7.936303899999999
6,8000,999,-2.248664053807982,7.4873256999999995
7,8000,999,-1.3575059422414064,7.6365543
8,9000,999,-1.8684286431545782,7.330177399999997
9,9000,999,-2.7417321495017832,7.076576099999997
10,10000,999,-2.1869461480528116,7.27424280000001
11,11000,999,-2.8981039116333704,7.419983599999995
12,11000,999,-3.521370308706537,7.10468680000001
13,12000,999,-3.053440688527189,7.0090761999999955
14,12000,999,-1.9386900958488695,7.245301100000006
15,13000,999,-1.099475932714995,7.021273600000001
16,14000,999,-1.7682524289702997,7.043734400000005
17,14000,999,-1.7598015441326424,7.081469400000017
18,15000,999,-2.499773570918478,7.241890299999994
19,15000,999,-1.841226510994602,7.31044
20,16000,999,-3.3385761226527393,7.2774924
21,16000,999,-2.719056141213514,7.719392700000014
22,17000,999,-2.462688314495608,7.306921999999986
23,18000,999,-2.147929345839657,7.742480499999999
24,18000,999,-1.8054584219353274,7.337410299999988
25,19000,999,-2.432617085869424,7.4641779999999756
26,19000,999,-2.6493526072008535,7.872251800000015
27,20000,999,-3.647625054232776,7.661707399999983
28,20000,999,-3.6943847357761115,7.126882300000005
29,21000,999,-3.0091552960220724,7.063062099999996
30,22000,999,-3.5603426590096205,7.1886263999999755
31,22000,999,-5.295773197896779,7.266458199999988
32,23000,999,-7.823117978405207,7.045405999999986
33,23000,999,-7.879149127751589,6.6573946000000035
34,24000,999,-8.019140880554914,7.0340337000000375
35,24000,999,-8.884389399550855,7.33981940000001
36,25000,999,-8.422367022838444,7.064067099999988
37,25000,999,-10.070036482065916,7.188836600000002
38,26000,999,-10.162871712818742,7.150456200000008
