episode,train_step,EpisodeLength,TotalReward,EpisodeTime
0,3000,999,-0.00898976661469075,6.268364900000001
1,4000,999,-0.0006059974969382237,6.0311800999999985
2,4000,999,-0.09882459222518342,7.1423168
3,5000,999,-0.13202739231928717,7.530928199999998
4,6000,999,-0.04591350574992248,7.2667085
5,6000,999,-0.011895536631982395,7.062490799999999
6,7000,999,-0.0014292906065236366,6.8318443
7,7000,999,-0.6145101695976507,7.022311199999997
8,8000,999,-0.6207662150826536,6.939029300000001
9,9000,999,-0.9728256771946169,7.222805100000002
10,9000,999,-2.433466890710406,7.117167099999989
11,10000,999,-3.6000883942469954,7.195045899999997
12,10000,999,-4.4600646905601025,7.0724637
13,11000,999,-6.6628803461790085,7.067655600000009
14,11000,999,-7.115963710006326,6.9465298000000075
15,12000,999,-7.070328842848539,7.0994461999999885
16,12000,999,-4.860088543733582,7.206726799999998
17,13000,999,-1.9172021865379065,7.222759999999994
18,13000,999,-3.8426452215062454,7.2796313000000055
19,14000,999,-7.769753891974688,7.115030200000007
20,15000,999,-3.9329868454951793,7.350480099999999
21,15000,999,-1.9545126513701234,7.273435700000022
22,16000,999,-2.936034007463604,7.081674700000008
23,16000,999,-3.2160621730145067,7.202305199999984
24,17000,999,-2.514218869386241,7.267029699999995
25,17000,999,-0.5434306294919224,7.145731100000006
26,18000,999,-0.27835141951254627,7.07674990000001
27,18000,999,-0.05769660854247172,7.353812099999999
28,19000,999,-0.36669769600871405,7.25705720000002
29,19000,999,-1.3079289339657407,7.266851800000012
30,20000,999,-0.8236821385798976,7.268504300000018
31,20000,999,-0.8807591736549512,7.276564399999984
32,21000,999,-2.918347788741812,7.418494599999974
33,22000,999,-2.9758552563143894,7.729510599999998
34,22000,999,-2.8642631070688367,7.410272399999997
35,23000,999,-3.0357862506061792,7.198311199999978
36,23000,999,-2.999610434519127,7.0183243000000175
37,24000,999,-1.8955037706764415,6.970000200000015
38,24000,999,-2.855800040764734,7.413255500000048
39,25000,999,-2.5601668399758637,7.180575899999951
40,26000,999,-4.933897294569761,7.0557627000000025
41,26000,999,-7.186908676289022,7.29194229999996
42,27000,999,-11.656664200592786,7.337132800000006
43,27000,999,-12.922384214121848,7.310562899999979
44,28000,999,-1.2172533724762924,7.272827600000028
45,28000,999,-0.46441114915685233,7.377688500000033
46,29000,999,-0.6582538833317813,7.2845387000000414
47,30000,999,-0.4224728579487741,7.274248099999966
48,30000,999,-0.2655900917682743,7.398427700000013
49,31000,999,-0.4788454272070365,7.464511200000004
50,31000,999,-1.3109895429515745,7.310136499999999
51,32000,999,-1.147628751990851,7.7449236999999584
52,32000,999,-0.8025659376289696,7.444153099999994
53,33000,999,-0.9470202655647881,7.564195900000016
54,34000,999,-1.8630883129662834,7.508609999999976
55,34000,999,-1.186380891740555,7.250687599999992
56,35000,999,-1.7177127950126305,7.46584409999997
57,35000,999,-3.031389696523547,7.153487499999983
58,36000,999,-5.077414178755134,7.121542900000009
59,37000,999,-10.1555669545196,7.386445299999991
60,37000,999,-12.466497487388551,7.172447200000022
61,38000,999,-16.16653805412352,7.2067464999999515
62,38000,999,-15.965701364912093,7.08160190000001
63,39000,999,-8.412265760358423,7.053398399999992
64,39000,999,-5.180371474620188,7.331833800000027
65,40000,999,-0.18843114133295558,7.334732599999995
66,40000,999,-0.08955164607096525,7.508739700000035
67,41000,999,-0.01606833810916264,7.266827499999977
68,42000,999,-1.2739366053364343,7.181553899999983
69,42000,999,-1.1308457399136387,7.3700273999999695
70,43000,999,-1.476764792110771,7.403246500000023
71,43000,999,-2.171566697419621,7.497199799999976
72,44000,999,-3.5183261637575924,7.497209099999964
73,45000,999,-9.178124694153666,7.206519100000037
74,45000,999,-7.724980395287275,7.255237099999931
75,46000,999,-4.495032408973202,7.2833349999999655
76,46000,999,-2.536362353595905,7.023964599999999
77,47000,999,-2.591860209358856,6.96918919999996
78,47000,999,-1.3901899850461632,7.033700299999964
79,48000,999,-2.7986919790273532,7.273120100000028
80,48000,999,-3.4257592071662657,7.292118200000004
81,49000,999,-0.11533733929165635,7.211293800000021
82,50000,999,-0.300199931555524,7.133254299999976
83,50000,999,-0.49815231897260404,7.1092443
84,51000,999,-0.6958096574095407,7.117356800000039
85,51000,999,-0.824920492945239,6.757915499999967
86,52000,999,-0.428990742759197,7.004725099999973
87,52000,999,-0.18617505740834162,7.101164599999947
88,53000,999,-0.012779926556075669,7.077083700000003
89,53000,999,-0.26756835830444303,7.298468299999968
90,54000,999,-1.1231983327597845,6.8991379999999936
91,54000,999,-0.9261223192872876,7.184268700000075
92,55000,999,-0.026615568907558895,7.079030500000044
93,56000,999,-0.08186104301626074,6.924380000000042
94,56000,999,-0.20973715268701199,7.051842599999986
95,57000,999,-0.0678342023341253,7.1163294000000406
96,57000,999,-0.15385504861842492,7.392650799999956
97,58000,999,-0.15701930580897283,7.183395200000064
98,58000,999,-0.05428561487601601,7.837061700000049
99,59000,999,-0.028599275729440876,7.719742699999983
100,59000,999,-0.16566456762548398,7.18294800000001
101,60000,999,-0.08722364736604504,7.302905399999986
102,61000,999,-0.19426990392003063,7.068369700000062
103,61000,999,-0.04508016265961956,7.1756597999999485
104,62000,999,-0.28270405624198247,7.0867814000000635
105,62000,999,-37.489993906140796,7.2411879
106,63000,793,70.41104077354794,5.663782699999956
107,63000,839,68.86269305178223,5.967075099999988
108,64000,999,-1.1229701093778273,7.101408900000024
109,64000,999,-0.811377004836686,7.018506900000034
110,65000,999,-0.6819284091470763,7.1278407999999445
111,65000,999,-3.1850121092866175,7.0346978000000036
112,66000,999,-2.019899171544239,7.144780299999979
113,66000,999,-1.4841640030287309,6.892983200000003
114,67000,999,-0.6163445380225312,7.0533391000000165
115,68000,999,-0.9187443176988701,7.279431600000066
116,68000,999,-2.5080792205408216,6.979035099999919
117,69000,999,-0.8343956108146813,7.102594000000067
118,69000,999,-0.7321235029085074,7.243983800000024
119,70000,999,-0.09035060500496811,7.359481500000015
120,70000,999,-0.09442729588045479,7.069872000000032
121,71000,999,-0.006942776194481016,7.330054200000063
122,71000,999,-0.06633576775993788,7.441466499999933
123,72000,999,-0.33608281560009345,7.367213300000003
124,73000,999,-0.8088250825967407,7.226410399999963
125,73000,999,-0.7755488020920893,7.303983100000096
126,74000,999,-1.7284743641212117,6.941241799999943
127,74000,999,-2.121714692679234,7.144896399999993
128,75000,999,-1.043585452483967,7.2001725999999735
129,75000,999,-0.5802828773337592,7.2483987000000525
130,76000,999,-0.49936427025386365,7.314517599999931
131,77000,999,-3.2554921852338907,7.227715900000021
132,77000,999,-19.448315759189427,7.292693800000052
133,78000,999,-62.893912110477686,7.181886700000064
134,78000,999,-59.91372099891305,7.139118300000064
