episode,length,step
0,999,1000
1,999,1999
2,999,2998
3,999,3997
4,999,4996
5,999,5995
6,999,6994
7,999,7993
8,999,8992
9,999,9991
10,999,10774
11,999,11773
12,999,12772
13,999,13771
14,999,14579
15,999,14844
16,999,15334
17,999,16333
18,999,17332
19,999,18331
20,999,19330
21,999,20171
22,999,21170
23,999,22169
24,999,23168
25,999,23983
26,999,24982
27,999,25981
28,999,26937
29,999,27629
30,999,28628
31,999,29627
32,999,30626
33,999,31348
34,999,32347
35,999,33346
36,999,34345
37,999,35344
38,999,36343
39,999,37342
40,999,38341
41,999,39340
42,999,40339
43,999,41338
44,999,42337
45,999,43336
46,999,44335
47,999,45334
48,999,46049
49,999,47048
50,999,48047
51,999,49046
52,999,50045
53,999,51044
54,999,52043
55,999,52780
56,999,53779
57,999,54778
58,999,55673
59,999,56672
60,999,57671
61,999,58670
62,999,59460
63,999,60273
64,999,60834
65,999,61833
66,999,62832
67,999,63831
68,999,64830
69,999,64962
70,999,65361
71,999,65875
72,999,66482
73,999,67481
74,999,68480
75,999,69479
76,999,70478
77,999,71477
78,999,72476
79,999,73475
80,999,74474
81,999,75473
82,999,76472
83,999,77471
84,999,78470
85,999,79469
86,999,80468
87,999,81467
88,999,82466
89,999,83465
90,999,84464
91,999,85463
92,999,86462
93,999,87461
94,999,88460
95,999,89459
96,999,90458
97,999,91457
98,999,92456
99,999,93455
100,999,94454
101,999,95453
102,999,96452
103,999,97451
104,999,98450
105,999,99449
106,999,100448
107,999,101447
108,999,102110
109,999,103109
110,999,104108
111,999,105107
112,999,106106
113,999,107105
114,999,108104
115,999,109103
116,999,110102
117,999,110880
118,999,111879
119,999,112878
120,999,113627
121,999,114626
122,999,115625
123,999,116624
124,999,117020
125,999,118019
126,999,119018
127,999,120017
128,999,121016
129,999,122015
130,999,123014
131,999,123985
132,999,124984
133,999,125983
134,999,126982
135,999,127327
136,999,128326
137,999,129325
138,999,130324
139,999,131323
140,999,132322
141,999,133321
142,999,134320
143,999,135128
144,999,136127
145,999,137126
146,999,138125
147,999,139124
148,999,140123
149,999,141122
150,999,142037
151,999,143036
