episode,length,step
456,104,90934
457,65,91074
458,67,91176
459,138,91308
460,108,92007
461,68,92143
462,67,92279
463,106,92415
464,102,92515
465,68,92618
466,66,92721
467,107,92823
468,68,92968
469,69,93074
470,105,93177
471,68,93245
472,105,93388
473,103,93527
474,135,93627
475,69,93696
476,106,93766
477,106,93865
478,134,94008
479,136,94079
480,67,94213
481,141,94358
482,67,94425
483,104,94534
484,143,94676
485,102,94824
486,106,94937
487,103,95073
488,105,95211
489,145,95317
490,101,95450
491,101,95582
492,107,95716
493,66,95893
494,66,95992
495,67,96103
496,129,96248
497,137,96348
498,143,96418
499,133,96486
500,104,96622
501,102,96723
502,104,96825
503,139,96926
504,106,97029
505,70,97162
506,102,97260
507,99,97364
508,128,97465
509,67,97613
510,100,97811
511,68,97925
512,131,98055
513,132,98159
514,106,98292
515,139,98401
516,103,98579
517,104,98750
518,101,98877
519,101,98978
520,100,99102
521,96,99197
522,133,99333
523,99,99432
524,105,99502
525,141,99635
526,134,99735
527,134,99840
528,73,99991
529,129,100092
530,129,100194
531,97,100293
532,99,100397
533,99,100534
534,101,100642
535,122,100749
536,125,100874
537,99,100977
538,135,101105
539,96,101205
540,96,101303
541,96,101439
542,97,101566
543,138,101666
544,94,101791
545,99,101897
546,68,102024
547,68,102158
548,97,102330
549,68,102496
550,127,102622
551,95,102749
552,98,102871
553,99,102942
554,98,103068
555,129,103170
556,68,103294
557,96,103388
558,128,103515
559,99,103654
560,94,103752
561,68,103852
562,96,103950
563,69,104072
564,99,104201
565,94,104298
566,130,104394
567,73,104522
568,93,104649
569,123,104747
570,93,104874
571,71,104985
572,97,105152
573,130,105314
574,129,105443
575,124,105567
576,98,105701
577,120,105831
578,95,105924
579,99,106054
580,93,106179
581,125,106286
582,98,106392
583,98,106500
584,94,106607
585,127,106714
586,98,106814
587,94,106914
588,100,107041
589,131,107145
590,121,107277
591,131,107388
592,98,107520
593,127,107649
594,100,107758
595,99,107870
596,95,107979
597,116,108079
598,99,108179
599,96,108277
600,125,108373
601,95,108507
602,73,108629
603,96,108733
604,121,108857
605,99,108988
606,71,109168
607,72,109273
608,134,109353
609,87,109459
610,104,109564
611,130,109670
612,101,109810
613,122,109992
614,110,110203
615,105,110377
616,106,110484
617,105,110688
618,133,111687
619,106,111890
620,127,112062
621,124,112196
622,131,112324
623,116,112428
624,130,112559
625,107,112697
626,109,112894
627,107,113092
628,123,113222
629,122,113348
630,117,113455
631,108,113572
632,120,113762
633,130,113905
634,128,114043
635,131,114220
636,130,114401
637,126,114571
638,124,114780
639,172,114900
640,108,115078
641,107,115259
642,130,115380
643,128,115508
644,111,115690
645,115,115857
646,109,116038
647,168,116205
648,114,116403
649,111,116594
650,124,116857
651,194,116990
652,125,117173
653,127,117348
654,108,117455
655,122,117576
656,128,117698
657,110,117829
658,109,117945
659,170,118075
660,113,118243
661,134,118495
662,115,118669
663,176,118844
664,114,118955
665,111,119159
666,172,119332
667,135,119526
668,120,119715
669,109,119904
670,172,120164
671,130,120377
672,166,120571
673,172,120744
674,131,120915
675,172,121050
676,167,121234
677,113,121478
678,109,121732
679,130,121932
680,130,122102
681,131,122235
682,128,122346
683,136,122492
684,133,122629
685,135,122742
686,130,122888
687,109,123078
688,128,123190
689,113,123369
690,134,123500
691,131,123609
692,130,123719
693,109,123853
694,133,123964
695,123,124264
696,178,124398
697,111,124508
698,110,124678
699,135,124816
700,135,124992
701,110,125167
702,108,125312
703,135,125453
704,130,125585
705,113,125719
706,177,125835
707,113,126021
708,172,126154
709,114,126269
710,130,126401
711,110,126582
712,134,126720
713,108,126832
714,134,126964
715,144,127098
716,115,127214
717,140,127343
718,111,127457
719,115,127639
720,113,127833
721,112,128019
722,111,128194
723,118,128366
724,118,128546
725,111,128658
726,111,128771
727,109,128884
728,111,128999
729,175,129116
730,113,129229
731,111,129344
732,114,129482
733,114,129609
734,88,129726
735,107,129842
736,107,129953
737,107,130026
738,108,130139
739,109,130281
740,109,130406
741,114,130550
742,107,130743
743,110,130860
744,114,131080
745,141,131258
746,110,131377
747,110,131516
748,140,131627
749,111,131803
750,106,131945
