episode,train_step,EpisodeLength,TotalReward,EpisodeTime
0,6000,999,-770.9932038187981,7.9945864
1,6000,999,-171.22757967561483,7.350218099999999
2,7000,999,-392.91650192439556,7.393523200000001
3,7000,999,-338.41792660951614,7.722130800000002
4,8000,999,-211.001908544451,7.6974673
5,8000,999,-386.1453382000327,7.779124700000004
6,9000,999,-228.33522793278098,7.878446099999998
7,9000,999,-170.80007353052497,7.3781994
8,10000,999,-407.68690449744463,7.381405000000001
9,10000,999,-343.0585710629821,7.188279099999988
10,11000,999,-175.51936462521553,7.039554500000008
11,12000,999,-230.15704649686813,7.10212700000001
12,12000,999,-256.5203128680587,6.9587267
13,12000,999,-477.2025571987033,6.540530500000003
14,13000,999,-240.6142675615847,6.9280834000000056
15,13000,988,-327.90992327430286,7.099789399999992
16,14000,582,-102.38083533733152,4.460131200000006
17,14000,504,-106.98587702028453,3.773012399999999
18,14000,438,-74.57213456026511,3.122231499999998
19,14000,309,-37.24716428318061,2.315759700000001
20,15000,286,-37.109343521879055,1.966323000000017
21,15000,411,-125.1790021591587,3.130696599999993
22,15000,353,-82.78904527169652,2.6815302999999915
23,15000,343,-103.90709912183229,2.4775233000000014
24,15000,296,-41.95753477758262,2.0842535999999825
25,15000,124,-14.424066589446738,0.924862399999995
26,15000,135,-11.840229636756703,0.9147895000000119
27,16000,207,-32.73280885186978,1.4441951999999958
28,16000,141,-14.083258328959346,1.0751391999999953
29,16000,130,-11.949829879333265,0.8917350000000113
30,16000,128,-15.931272514280863,0.9138464000000113
31,16000,289,-64.68312300462276,2.098266100000018
32,16000,203,-73.25934574136045,1.4590538999999865
33,16000,115,-12.375308354501612,0.7962944999999877
34,16000,123,-16.036301755229943,0.8511479000000008
35,16000,118,-22.234873360866914,0.7999250999999958
36,16000,122,-14.96537010344764,0.9263370999999836
37,16000,119,-14.931635796499904,0.8684236999999939
38,16000,125,-11.068526286748238,0.9020029000000136
39,16000,110,-21.77479756323737,0.7968706000000054
40,17000,123,74.58512501919176,0.8632711999999856
41,17000,158,-71.81852210575016,1.1148786999999913
42,17000,114,76.71108626027126,0.814483800000005
43,17000,157,-111.14782502216985,1.1162860000000023
44,17000,155,-53.996965780046594,1.1052377000000035
45,17000,113,-28.58605346409604,0.8046812999999986
46,17000,116,-14.517923856910784,0.818439699999999
47,17000,119,71.64957759017125,0.8796730999999909
48,17000,116,-36.92716024839319,0.8250261000000023
49,17000,155,-241.24092571716756,1.1027341999999862
50,17000,110,-26.57030647382817,0.8084087999999952
51,17000,117,-24.51673586794641,0.831858699999998
52,17000,111,73.49999604688492,0.7985617999999874
53,17000,110,70.28559764265083,0.8215508000000113
54,17000,112,69.97170397918671,0.8304112000000146
55,18000,117,-45.52044606138952,0.8533663999999987
56,18000,112,75.14245132450014,0.7963144
57,18000,115,-23.26267012664175,0.8895852999999931
58,18000,111,74.29825755674392,0.9896162000000004
59,18000,115,-30.509918842290062,0.7864152999999874
60,18000,112,71.87111208122224,0.7751203999999916
61,18000,115,-23.566976175046875,0.8532480000000078
62,18000,111,72.6711113563506,0.8775144000000239
63,18000,111,72.81144863227382,0.764922299999995
64,18000,115,-18.428692537534516,0.8247063999999966
65,18000,112,74.7887297210982,0.7805887000000098
66,18000,110,73.61780481343158,0.7823147999999946
67,18000,136,-8.685813983436674,0.9971745999999939
68,18000,82,-24.329335647576954,0.5972414999999955
69,18000,111,73.90959490870591,0.8008212999999955
70,18000,110,74.58334313821979,0.7598164000000054
71,18000,110,75.35311749472748,0.8034688999999844
72,18000,110,67.47371352277696,0.7786450999999772
73,19000,109,72.97683474968653,0.7137676000000113
74,19000,108,72.90032013307791,0.8034548999999913
75,19000,108,73.50309966492932,0.7269770000000051
76,19000,111,75.31849593657535,0.7939413999999942
77,19000,112,66.47982045996469,0.7772017000000062
78,19000,108,72.45445436041337,0.7398177999999973
79,19000,110,69.97289137309417,0.8241431000000148
80,19000,106,73.79361598344985,0.748002200000002
81,19000,111,67.98100378352683,0.7742330000000095
82,19000,108,73.68034862773493,0.7731753999999853
83,19000,109,65.2228751888033,0.7166739000000177
84,19000,112,75.57619291637093,0.82806530000002
85,19000,108,73.35550698719453,0.7760544999999865
86,19000,109,69.64901766704861,0.7526975999999763
87,19000,109,75.07915067474823,0.7654415000000085
88,19000,110,70.08424839680083,0.7400748999999962
89,19000,108,-31.842848917352967,0.7658069000000012
90,19000,110,60.39508201414719,0.7883484999999837
91,20000,110,66.66264606220648,0.7795658000000003
92,20000,108,70.23452910594642,0.8225642000000164
93,20000,111,75.51941649056971,0.8270363999999972
94,20000,110,62.006497867405415,0.7928526999999974
95,20000,109,73.81914637051523,0.9171418999999901
96,20000,111,60.88664240576327,1.1567069000000174
97,20000,113,60.32226677110884,0.8028741000000252
98,20000,109,71.69124869222287,0.7864532000000111
99,20000,72,-7.936072968412191,0.571885199999997
100,20000,110,71.67685842327774,0.7186366999999905
101,20000,108,70.52078637713566,0.9150033999999891
102,20000,108,70.32356586284004,0.9424602999999934
103,20000,106,74.67131032224279,0.7555765000000179
104,20000,108,70.84999350411817,0.7817978999999866
105,20000,107,74.86839997279458,0.7874302000000171
106,20000,110,74.3225409167353,0.8328295999999966
107,20000,106,74.32262758398429,0.7101367999999866
108,20000,108,75.07091204123572,0.7315732000000139
109,20000,109,75.57446895504836,0.748355800000013
110,21000,107,66.52334234083537,0.736711200000002
111,21000,108,75.52339027484413,0.7269876000000011
112,21000,107,73.53787604195531,0.706186300000013
113,21000,107,71.85696210560855,0.6751729000000068
114,21000,108,75.9452434167033,0.6740131999999903
115,21000,108,73.57290351239499,0.7120608000000175
116,21000,107,73.54080884938594,0.7526441999999918
117,21000,110,76.47020763007458,0.7678353000000016
118,21000,109,60.94384220032953,0.7248943999999824
119,21000,108,70.1553510123631,0.6787415999999951
120,21000,107,71.12625249719713,0.6497106000000201
121,21000,109,75.44405513838865,0.7004923000000076
122,21000,106,73.34142966836225,0.6832593000000031
123,21000,106,72.87956650205888,0.7290993000000014
124,21000,109,68.74882728117518,0.8215454999999849
125,21000,110,76.04114118451253,0.7302146000000107
126,21000,108,69.11240829294547,0.7595202000000256
127,21000,110,74.82716470467858,0.8230109000000141
128,21000,107,70.50268873595633,0.9170374999999922
129,21000,73,-8.526847517787246,0.47883569999999054
130,21000,111,64.27831978187896,0.7220445000000097
131,21000,108,71.23906895937398,0.7778776000000107
132,21000,110,64.42665175558068,0.7066807999999867
133,22000,111,55.20742191199679,0.7359097000000077
134,22000,107,72.90752573509235,0.7313820999999905
135,22000,111,72.88790592376608,0.7657997999999964
136,22000,108,75.00450507376809,0.7691320000000132
137,22000,108,70.86103674594779,0.7764358999999956
138,22000,108,74.99617170181591,0.8243829999999832
139,22000,108,65.0674778871471,0.7895779999999775
140,22000,108,74.6451140261488,0.8273858000000018
141,22000,77,-23.93284330930328,0.5727282000000002
142,22000,111,71.35000702505931,0.7880532000000073
143,22000,112,75.08149548305664,0.7822924999999827
144,22000,109,76.13743480632547,0.7782781999999884
145,22000,108,71.06453966896515,0.7995683000000042
146,22000,108,72.05260091193486,0.7908268999999848
147,22000,108,74.66926072211936,0.8023694000000035
148,22000,108,75.92379288526718,0.7761275999999953
149,22000,109,71.37574338249397,0.8069586999999956
150,22000,108,69.87482401030138,0.7703105999999877
151,23000,108,75.53282424155623,0.7820126999999957
152,23000,107,73.2838293822715,0.789837800000015
153,23000,107,73.75574281683657,0.759087199999982
154,23000,108,69.05819392448757,0.7970804000000271
155,23000,110,64.01725277549122,0.7827899000000116
156,23000,108,69.22162894590292,0.7702672000000348
157,23000,107,72.60476789495442,0.7827328000000193
158,23000,108,74.46038010774646,0.8495647000000304
159,23000,109,75.27632247435395,0.8344667000000072
160,23000,109,65.0953530992847,0.8322888999999805
161,23000,107,73.89634126937017,0.7707250999999928
